f_e,T_e
1.02410894539183e-05,1.7999999946716216
8.845227899492474e-06,2.090608315814949
7.742467444114012e-06,2.0761744855516246
7.806083510314938e-06,2.283391068693885
1.3057666802296293e-05,1.5347628618485618
9.786839035428106e-06,1.838594252235703
8.323284188606162e-06,2.1110150167781434
9.304379309341946e-06,2.200003562242005
9.82316042408345e-06,1.7999998259918488
1.0440427762128695e-05,1.7140354179820787
1.5184419605149941e-05,1.399999977451069
9.609079666749528e-06,1.8537032493713972
1.1995708848469032e-05,2.0562396774540113
2.138240661972785e-05,0.9467401729098845
6.907723518873847e-06,3.6000192162621274
1.156200069601433e-05,1.6999999961270285
1.5217916313173296e-05,1.3345537965238512
5.848279829397305e-06,3.073433757449971
1.1236201115978604e-05,1.7999999901559034
8.999570899212073e-06,1.9798206280045578
1.41945122092956e-05,1.4333320277365424
9.95302490282712e-06,1.9347836860718264
1.9973064828448382e-05,1.1887326645270473
1.4608486640564207e-05,1.399999993040783
1.1056041010579437e-05,1.8233597779690502
9.46819570352835e-06,1.9999963144466122
1.0925544533502658e-05,2.0542230921232223
1.320454935654214e-05,1.8118192770848818
1.0781295157741253e-05,2.1062307464653953
1.0332455456610513e-05,1.6999998924924344
8.492656712534536e-06,2.25366749320363
1.1302715119010616e-05,1.7999998632378518
9.758969662226417e-06,2.0433027776498642
7.60118365926977e-06,2.1201670456261055
6.47421327057898e-06,4.711742644093054
1.4273185076564292e-05,1.4661479129546497
1.1327372729448073e-05,2.5999958461511565
1.0460165116142113e-05,2.14433946184795
8.682281280793204e-06,2.273643346363897
4.569407016374962e-06,4.8008985272020555
1.2176044629057489e-05,1.6155768413750784
1.0375912483896515e-05,1.5999999994437417
7.986573824700085e-06,4.005170013401682
5.496388464527914e-06,3.3768946594352363
1.0055311416599979e-05,2.1300459640283704
9.107021796807487e-06,1.9370021763033924
1.3981802122872715e-05,1.3429632282386645
6.274010150193678e-06,3.1773001864343313
7.025558814788879e-06,2.830875787681713
7.016787342933626e-06,3.072747547424581
6.6938713527948225e-06,3.374762163624645
1.2710074362110718e-05,1.446201446038663
9.760400199295542e-06,2.0999999936826046
8.04998358971077e-06,2.0441661882791777
1.0585156239243917e-05,1.7157405230139942
9.201937684777317e-06,2.2256699645146925
1.0810520689673049e-05,1.647246395403383
1.0842070515190059e-05,2.1000035302418834
7.143447262150116e-06,2.3602742491603372
9.614214357917335e-06,2.209463982462053
8.76678532957538e-06,2.6999998883045926
1.302496370739674e-05,1.599999990171889
1.0284262901660925e-05,2.0610997398221103
1.2438997534480426e-05,1.3455708801634185
1.309718732519076e-05,1.4999999924560408
1.242056237642693e-05,1.5502178970818705
1.0231833022138207e-05,2.204470659645287
9.34866890418988e-06,1.705368749864067
7.418383857854502e-06,2.9918157372703185
9.45521597716229e-06,1.899999994053373
1.2494174227904349e-05,1.9695967808699626
1.0361508228673567e-05,2.3000003406408256
1.3347870170010052e-05,1.6061225723383923
1.1386783954688793e-05,1.6209364404569835
8.218633960864238e-06,2.231483393141779
9.347730368400273e-06,1.7168566406254555
1.2765300156129615e-05,1.5189420612388274
1.0705000290301308e-05,1.8999999934122027
9.00283253971724e-06,1.899999976360903
1.0240315470491849e-05,2.354366489706139
1.7332077085438462e-05,1.1231242080790795
1.30327128385471e-05,1.6999999949549613
1.4605674737035475e-05,1.4450358222471056
8.684044250942168e-06,2.1378416575919164
1.3689274918865917e-05,1.4440109163442025
1.387571604784861e-05,1.447716172993805
1.3242247746654334e-05,1.4999266270293445
6.650667002331456e-06,2.894947425574109
1.357009077261441e-05,1.7999971580792027
9.679082018257315e-06,2.0693189226629896
1.1208388461361153e-05,1.968897136877121
1.3968131383554043e-05,1.4000000134801645
9.92062433344046e-06,1.5999995491998023
9.86126730007518e-06,2.044685928563992
7.930197637566791e-06,2.399999803142431
1.2340205367523833e-05,1.6999999884788737
1.2346416000019429e-05,1.4402600414181983
1.0112605253602024e-05,1.59999999341932
5.130580000496601e-06,3.8000000095250126
9.993754601008867e-06,2.0323218353254227
9.599946029459178e-06,1.9243601566843855
9.170091419018416e-06,2.299999994167491
1.440166896376489e-05,1.5999999926355488
9.479088672922687e-06,2.1099753351803194
9.35573879745e-06,2.1999999945635986
1.2699925030857455e-05,1.573017470332861
1.2883412425246481e-05,1.4525750418924095
1.0060134523433204e-05,2.0999999916078353
1.0130036855906933e-05,2.0999999999381425
1.2264346951007046e-05,1.77954564731099
1.2506118822448902e-05,1.398185706541509
1.2019351698301607e-05,1.7999999974755254
1.0760182604426695e-05,1.8704986193841897
7.044035530914298e-06,3.1163170733161047
1.0433785802432813e-05,1.8440238360742371
7.499168619963738e-06,1.9676560244954404
8.814767424548594e-06,2.435703342736646
1.2306695703555988e-05,1.6584286705445337
1.1213418312824962e-05,2.0535537339247627
1.1785365536428957e-05,1.6220387049856166
1.0633549229276079e-05,1.8655885682905835
1.0106389125601197e-05,1.9329196657369285
1.0011279897793251e-05,1.8484049736344965
1.105649421706023e-05,2.071161112001712
6.076727103538007e-06,3.773526501464218
9.86969071851385e-06,1.9046088604811124
7.747311442675191e-06,2.209577489032469
6.324685519086279e-06,3.6296085062628753
9.336960659694904e-06,2.203092844898917
1.4053098196950407e-05,1.4999999915784448
7.278922214967045e-06,2.2240142175361624
9.651211884624691e-06,2.1521119127011192
1.13297744088353e-05,1.719120339377175
9.842991261055274e-06,2.3225645903273464
8.369211671311042e-06,2.0999999964447804
1.1036037323759645e-05,1.800000000355741
5.82378251510579e-06,3.900306764037068
1.603919958727714e-05,1.2402138491214476
1.6569521534228645e-05,1.450398734192885
1.0951715985370636e-05,1.458187545750242
1.1527339311984839e-05,1.7999999934128401
1.1640577502349986e-05,1.339584823437125
1.3259321770498585e-05,1.340703491392867
1.1328401397477379e-05,2.1005385025297674
1.0311046018647336e-05,2.0713939181172094
9.938953838355778e-06,1.9442941462151315
9.517664326830756e-06,1.9538270407355558
8.419964761050711e-06,2.0208478393118985
8.837187272647851e-06,2.5639158058784837
4.302027941841621e-06,7.349612700322718
9.000405538156096e-06,2.0999999930908912
9.222177791452607e-06,2.089760324199996
1.0058302089454298e-05,2.3080012060598927
1.2207816772506917e-05,1.699317453821621
1.2244750688737316e-05,1.8999993315254644
7.984204925001913e-06,2.831330200472951
1.147497214129962e-05,2.299999998929702
9.875261648590268e-06,2.01580199125295
6.595545328538657e-06,3.306218379721635
1.1789438429285222e-05,1.6999999922950435
1.0780134441120063e-05,1.8999999907444693
1.144265891541028e-05,1.4170549154328498
1.0101691582851046e-05,2.3999999999541552
2.088778224385954e-05,0.9999999906268572
1.4400719031670876e-05,1.5252056604538125
1.2322108519861672e-05,1.7196995353669093
3.1515889122915094e-06,13.064212951652538
8.451034046106149e-06,2.2000000002062636
1.3890272681519804e-05,1.403080976581249
1.0269858793336943e-05,2.0895136270580252
1.0510256341669089e-05,2.099999985854876
1.836144602985725e-05,1.2000002645130545
1.9644834278733076e-05,1.1119225376392103
8.262844275166387e-06,2.2269185988693003
1.0959154258045265e-05,2.170076115437623
1.2600112228155517e-05,1.7000051667634588
1.1088549531017216e-05,1.825179201295743
1.1250186633328828e-05,1.5309079944044266
1.2339408069742634e-05,1.5999852555051624
8.970790515079976e-06,2.3502920141840624
9.013962064762706e-06,2.5753035654213794
8.564598340013893e-06,1.8768898283399866
1.7192618448898884e-05,1.1407583133809818
1.2536151742584996e-05,1.4999999950527545
1.2925139339906932e-05,1.4030113206422905
1.1284567248859491e-05,2.0315217817349196
6.8534585645602925e-06,2.3204054164594323
8.05925755775188e-06,2.3282130717905543
1.1192962115189861e-05,1.6999999844034557
9.294390786868319e-06,2.008384145947959
1.0549496081270599e-05,2.1359257150983133
1.081704370260005e-05,1.9078099881544393
1.3563407105714113e-05,1.424565395524385
1.2429090459207825e-05,1.5999999925654909
6.917749060321213e-06,2.118513795513386
7.2843868328091636e-06,1.9539946878040366
1.0032306141596887e-05,2.1586497132144755
9.501289838505836e-06,1.9262714484644596
8.580393457665455e-06,2.144176695881839
8.78703980296278e-06,2.221314048451352
1.3147425963853958e-05,1.3287405462550008
6.74461244669071e-06,3.9265333772157445
7.540435989286919e-06,2.8721303968401988
1.0216417506415597e-05,2.4793769228887634
1.2509076254944298e-05,1.4352685825639873
9.292351694164175e-06,1.7999999915382303
9.307868484157851e-06,2.091169712173989
1.0651284203765748e-05,2.0200634633217236
5.803696156944515e-06,3.288862095473193
1.0523353537639352e-05,1.9801068882806447
9.983914126566412e-06,1.9557814698144822
8.62495382950973e-06,1.9687379060869123
1.3392093220671935e-05,1.4448245668352997
1.4449935060040903e-05,1.6000001772084687
1.117198899376543e-05,1.7443090840704307
7.481466843478215e-06,2.3422158696390505
7.053380707954657e-06,2.6298669012196676
3.944915285232874e-06,6.780932353509309
7.787591984236222e-06,2.9782760860230186
9.122195550732984e-06,2.059280951039425
1.208563274400039e-05,1.8000000527121314
1.4046488000103125e-05,1.6999999925744405
1.0923527265699926e-05,2.0999999902931576
9.892178283914515e-06,2.1227666862696624
1.1200101771637404e-05,1.9999999921578304
9.405204746397532e-06,2.163260295408286
1.1595907844403207e-05,1.9458188926270308
1.0892494246066567e-05,1.7999999990347466
1.0103491803532233e-05,1.9487957694621127
1.0454203304410577e-05,1.6598450624060272
9.187689948941975e-06,2.5619542295606674
1.4856914217518369e-05,1.3999999904965554
1.7542346226017002e-05,1.0140383090231904
8.366416329495934e-06,1.9555942171693916
1.051639226782445e-05,1.8302663020948937
1.195098268221672e-05,1.7816002363864634
1.2797834198977905e-05,1.5554406826365903
1.3100724242605127e-05,1.6000007294039693
8.309633120597308e-06,2.700000002073801
1.0818640929677333e-05,1.813521333565541
1.0370727840088047e-05,1.7999999942251192
1.555298976195594e-05,1.5999999474923234
7.583170050651162e-06,2.724461678215222
1.1399246644901382e-05,1.6605004408346182
9.40711431523419e-06,2.033580788885897
1.151084901944958e-05,1.4999999932026373
1.007933228328597e-05,2.100049734147644
1.2972033499513693e-05,1.772785722173502
6.997711015773559e-06,2.735452487617502
1.2117998168678095e-05,1.7999999987779949
1.58444665878609e-05,1.2999999714678565
1.0287225904850322e-05,1.9504084583849204
9.629968250206294e-06,2.15178254346497
1.1677107951078776e-05,1.8000031228425721
2.5866388142738516e-06,19.8
1.0274576991313093e-05,1.851384951731013
7.157484898513111e-06,2.1000009303996734
8.989568336322331e-06,2.1186232440338064
8.695095200037534e-06,2.1218468729197024
1.2277914304574318e-05,1.6024488694687717
1.0361816107337821e-05,1.786457109112094
1.7525319100130785e-05,1.3999999985143312
1.4780481698165948e-05,1.2503039317196774
1.4619540144286674e-05,1.2919338357291084
1.024587836518504e-05,1.9000006096639932
1.407859534027978e-05,1.3515698456641332
1.2784224915825491e-05,1.736724474419495
1.4320019622313303e-05,1.3430704931131792
9.871975181010818e-06,1.9209178540692693
8.247468720537448e-06,2.1206909417673336
1.2030630107404115e-05,1.7525182880719195
1.1203747064527593e-05,1.8296545053113784
1.1203656998468336e-05,1.59999945985067
9.36384871990896e-06,1.9641003085910422
1.0429775259818772e-05,2.2046209799699827
8.66582661918569e-06,1.952323403233236
7.855663813036923e-06,2.1999801493343347
8.958005320625872e-06,2.4494990693212846
1.159660933978877e-05,1.8526203609362053
1.646577657916322e-05,1.3925285975451578
1.1367010170582248e-05,1.598905875731513
1.0692507547783665e-05,1.699999996837569
1.0848258307346575e-05,2.045767579352759
1.0616071865708168e-05,2.0414811618620536
1.2644202064647549e-05,2.1778633784816375
7.568870981849266e-06,2.0917945644164377
1.1802325619014084e-05,1.8304010113872335
6.821801219857662e-06,3.3741590494958147
9.794298569106025e-06,2.1746418721110454
1.5124744599738337e-05,1.2999984037985253
1.1361019649935748e-05,1.7018233337292936
1.3136397765195912e-05,1.7222734291072046
