f_es,T_es,chisquared_avg,chisquared_000,chisquared_001,chisquared_002,chisquared_003,chisquared_004
5.590810182512223e-06,1.228279154789879,3014.751543996322,2438.1875222275485,2338.2042024293332,3206.2062766466124,3807.745250728608,3283.4144679495093
5.715009021987598e-06,1.228279154789879,2942.863419249298,2364.937285713625,2266.7975238941485,3139.783516311373,3730.914861870822,3211.8839084565216
5.8392078614629725e-06,1.228279154789879,2876.541036356308,2300.952847166741,2201.5107464937114,3077.0013281615866,3663.5886273679225,3139.6516325915786
5.963406700938348e-06,1.228279154789879,2814.162674665574,2243.0747692813134,2140.529057909226,3016.994973425198,3602.4226686527477,3067.791904059385
6.087605540413723e-06,1.228279154789879,2746.8050550688813,2176.3573514499585,2076.8751121632667,2952.371499752757,3530.4632896406188,2997.9580223378052
6.211804379889098e-06,1.228279154789879,2671.799819646852,2096.037256388683,2008.8039491450063,2880.576409404023,3442.0973166358294,2931.4841666607185
6.336003219364473e-06,1.228279154789879,2605.316632902518,2028.9086720309597,1947.9906825161888,2815.755332188692,3368.1391270791173,2865.789350697631
6.460202058839848e-06,1.228279154789879,2544.272262223586,1970.0111541179076,1891.8071787309145,2755.5267851139024,3303.0824619206687,2800.933731234538
6.584400898315223e-06,1.228279154789879,2487.1242747022725,1916.756463479052,1838.9868192112099,2698.6707775638656,3244.0524135417504,2737.154899715484
6.7085997377905975e-06,1.228279154789879,2430.140568845064,1862.6759713063948,1786.7964799837648,2641.8774639209923,3183.5403789556312,2675.8125500585375
6.832798577265973e-06,1.228279154789879,2366.917607200287,1796.3552410702366,1730.8657604889095,2579.135854514063,3108.0179124942033,2620.2132674340205
6.956997416741348e-06,1.228279154789879,2309.78255640217,1739.4236688021501,1679.8498134091762,2521.756932429773,3042.9705234390126,2564.9118439307385
7.081196256216723e-06,1.228279154789879,2256.774743621064,1688.7191573425916,1632.1726340745843,2468.114115576702,2984.8024384623413,2510.065372649099
7.205395095692098e-06,1.228279154789879,2206.839441133536,1642.4701734797104,1587.023753283627,2417.303481268813,2931.497210734083,2455.9025869014476
7.3295939351674735e-06,1.228279154789879,2158.786565140231,1598.5706648057878,1543.5961271442561,2368.1968930070143,2880.6379622233508,2402.9311785207465
7.453792774642848e-06,1.228279154789879,2105.2697933553113,1543.4914960341962,1497.532074899557,2313.1861095364143,2816.4998817592373,2355.6394045471543
7.577991614118223e-06,1.228279154789879,2056.147307435344,1495.21856508793,1454.8014377290422,2262.353235339245,2759.887272462115,2308.4760265583873
7.702190453593599e-06,1.228279154789879,2010.1730521194172,1451.709750706555,1414.4739225232697,2214.5801319874504,2708.4885639167496,2261.6128914630617
7.826389293068973e-06,1.228279154789879,1966.6304604583893,1411.7449739206427,1376.0428298141853,2169.1982010339716,2660.924104196887,2215.2421933262585
7.950588132544348e-06,1.228279154789879,1925.0768615743932,1374.548892541662,1339.2100208066474,2125.779546630286,2616.3186348821364,2169.5272130112344
8.074786972019724e-06,1.228279154789879,1880.002534294415,1329.006296835139,1301.245122241831,2077.772223481819,2562.085192050266,2129.9038368630204
8.198985811495098e-06,1.228279154789879,1837.703675999687,1287.629987855033,1265.40254992719,2032.5294554755546,2512.325920851474,2090.6304658891836
8.323184650970473e-06,1.228279154789879,1797.849653101349,1250.0367157231417,1231.343518042749,1989.8362177958793,2466.632418889028,2051.399395055947
8.44738349044585e-06,1.228279154789879,1759.9304024009969,1215.3417701686728,1198.7257564681518,1949.1776100563004,2424.023201033573,2012.383674278287
8.571582329921224e-06,1.228279154789879,1723.6202419516376,1182.9602172230911,1167.3438533283313,1910.2111976853166,2383.8509282823798,1973.7350132390698
8.695781169396598e-06,1.228279154789879,1685.9828683359315,1146.089845787784,1135.8343533475172,1869.394630408023,2338.352406899668,1940.2431052366658
8.819980008871974e-06,1.228279154789879,1649.9044275811716,1111.1762013085329,1105.697632340689,1830.0826608898021,2294.8217565085624,1907.7438868582717
8.944178848347349e-06,1.228279154789879,1615.667469195593,1079.195886750006,1076.9218262071522,1792.7103038287228,2254.429342969819,1875.079986222265
9.068377687822723e-06,1.228279154789879,1582.9080255050405,1049.5041566443056,1049.2483419450298,1756.8991107572137,2216.4783325924027,1842.4101855862511
9.1925765272981e-06,1.228279154789879,1551.3912994964176,1021.6654657081633,1022.5225551153634,1722.3971644686483,2180.495034162339,1809.8762780275736
9.316775366773474e-06,1.228279154789879,1520.1678816930992,992.2538891745074,996.5121361184247,1688.5647325532277,2142.318942687657,1781.189707931679
9.440974206248849e-06,1.228279154789879,1490.0255105662836,963.7283971258983,971.5794472226322,1655.9504579142426,2104.8545039492,1754.0147466194448
9.565173045724225e-06,1.228279154789879,1461.139772552766,937.3207458384179,947.5978723745412,1624.5453254554259,2069.69604804172,1726.5388710537252
