f_es,T_es,chisquared
1e-10,0.11,51290.07018155807
1.2618568830660183e-10,0.11,50894.057796030895
1.592282793341094e-10,0.11,50549.763943129125
2.0092330025650458e-10,0.11,50249.28477781619
2.5353644939701164e-10,0.11,49986.10823739079
3.1992671377973845e-10,0.11,49754.473836244826
4.03701725859655e-10,0.11,49549.74494469018
5.094138014816385e-10,0.11,49367.754466609586
6.428073117284319e-10,0.11,49205.10960763942
8.111308307896856e-10,0.11,49058.94895005383
1.0235310218990269e-09,0.11,48926.52031756879
1.2915496650148826e-09,0.11,48805.839369101996
1.6297508346206469e-09,0.11,32207.01605191334
2.0565123083486515e-09,0.11,31585.575918608665
2.595024211399732e-09,0.11,31268.500133771908
3.2745491628777316e-09,0.11,31169.6730551695
4.132012400115335e-09,0.11,31225.170040510722
5.214008287999674e-09,0.11,31387.73407668665
6.579332246575682e-09,0.11,31622.583092116925
8.302175681319736e-09,0.11,31904.17775102944
1.0476157527896662e-08,0.11,23765.783669876386
1.3219411484660288e-08,0.11,23360.45198515342
1.6681005372000592e-08,0.11,23239.077472287692
2.104904144512022e-08,0.11,23319.465693441558
2.656087782946684e-08,0.11,23540.097848260404
3.351602650938841e-08,0.11,19326.655289309518
4.229242874389499e-08,0.11,18919.219222952775
5.336699231206302e-08,0.11,18758.725097911003
6.734150657750828e-08,0.11,18769.492210057877
8.497534359086438e-08,0.11,16760.598680193318
1.0722672220103232e-07,0.11,16058.915033113119
1.3530477745798075e-07,0.11,15844.269949294638
1.7073526474706888e-07,0.11,15765.398168726537
2.1544346900318867e-07,0.11,14199.359295867238
2.71858824273294e-07,0.11,13850.751484585155
3.4304692863149193e-07,0.11,13663.034148584818
4.3287612810830616e-07,0.11,12678.899925618736
5.462277217684337e-07,0.11,12349.448500807233
6.892612104349695e-07,0.11,11901.747339355683
8.697490026177835e-07,0.11,11371.723469779225
1.0974987654930568e-06,0.11,11122.101913453813
1.3848863713938717e-06,0.11,10547.495474293519
1.747528400007683e-06,0.11,10281.425173640328
2.2051307399030456e-06,0.11,9918.83254222034
2.782559402207126e-06,0.11,9679.203998240808
3.5111917342151275e-06,0.11,9414.59785850313
4.430621457583877e-06,0.11,9212.880397518593
5.590810182512223e-06,0.11,9038.551355417447
7.0548023107186455e-06,0.11,8854.602951832454
8.902150854450392e-06,0.11,8679.75083345881
1.1233240329780266e-05,0.11,8513.15096521496
1.4174741629268048e-05,0.11,8353.418495632443
1.7886495290574353e-05,0.11,8212.381964204975
2.2570197196339216e-05,0.11,8136.016714522596
2.848035868435799e-05,0.11,8142.780404211966
3.5938136638046256e-05,0.11,8172.782534461151
4.534878508128582e-05,0.11,8200.34560829486
5.72236765935022e-05,0.11,8210.586551677818
7.220809018385456e-05,0.11,8208.346873542501
9.111627561154887e-05,0.11,8205.525324757393
0.00011497569953977356,0.11,8192.836004132178
0.000145082877849594,0.11,8171.237700434283
0.0001830738280295366,0.11,8150.401015797918
0.0002310129700083158,0.11,8128.868330122564
0.0002915053062825176,0.11,8112.130107912837
0.0003678379771828634,0.11,8097.221753915973
0.0004641588833612782,0.11,8085.0468909411575
0.0005857020818056661,0.11,8076.121927692785
0.0007390722033525775,0.11,8067.305958126385
0.0009326033468832199,0.11,8056.7817217111615
0.0011768119524349992,0.11,8048.152536004408
