f_e,T_e
1.06893690786301e-05,1.831996421587842
1.0790548172065874e-05,1.837981023716043
1.08160981488571e-05,1.828718801611402
1.0615298319836994e-05,1.8435704903356334
1.0716517988476519e-05,1.851708476620846
1.0677852568552809e-05,1.8420010406934748
1.0848632180244587e-05,1.7588874185968244
1.0062658122592069e-05,1.9287121232522249
1.1420704354428189e-05,1.7650524776281615
1.0617804826445357e-05,1.8592658065977326
1.1225474699471292e-05,1.7421087534920399
1.109890561837615e-05,1.8088951799858297
1.0670925171550257e-05,1.8545221612635758
1.0502123649075764e-05,1.833778121060809
1.0381677252250442e-05,1.911454013007435
1.0500874324140365e-05,1.8730113589659751
1.0928613993423757e-05,1.7657478622965503
1.058936418276326e-05,1.863183553821781
1.0811137126341186e-05,1.841298897849477
1.116899354229169e-05,1.7382370052425653
1.1609477741345216e-05,1.6663708858682535
1.162706437162822e-05,1.6509619733184415
1.0672297809158287e-05,1.852295592568003
1.0164911545078234e-05,1.9301277792655884
1.1369057398955342e-05,1.7221196827696115
