T_e,k_min,k_max
0.1,2.2472220612158428e-14,2.2472220612158428e-14
0.2,3.586280167567277e-14,3.586280167567277e-14
0.30000000000000004,4.0995995310632224e-14,4.0995995310632224e-14
0.4,4.262389555485615e-14,4.262389555485615e-14
0.5,4.2856621404456435e-14,4.2856621404456435e-14
0.6,4.2564874128929435e-14,4.2564874128929435e-14
0.7000000000000001,4.212357822453991e-14,4.212357822453991e-14
0.8,4.169741877562371e-14,4.169741877562371e-14
0.9,4.135697050879668e-14,4.135697050879668e-14
1.0,4.112923158156762e-14,4.112923158156762e-14
1.1,4.1020775418866446e-14,4.1020775418866446e-14
1.2000000000000002,4.102875140459948e-14,4.102875140459948e-14
1.3000000000000003,4.114623380595171e-14,4.114623380595171e-14
1.4000000000000001,4.136484629966315e-14,4.136484629966315e-14
1.5000000000000002,4.167603824187201e-14,4.167603824187201e-14
1.6,4.2071681994595524e-14,4.2071681994595524e-14
1.7000000000000002,4.2544325685411736e-14,4.2544325685411736e-14
1.8000000000000003,4.30872718766907e-14,4.30872718766907e-14
1.9000000000000001,4.3694570275676555e-14,4.3694570275676555e-14
2.0,4.436097035998888e-14,4.436097035998888e-14
2.1,4.5081857752149997e-14,4.5081857752149997e-14
2.2,4.585318654938246e-14,4.585318654938246e-14
2.3000000000000003,4.6671413645072296e-14,4.6671413645072296e-14
2.4000000000000004,4.75334378067592e-14,4.75334378067592e-14
2.5000000000000004,4.843654455735072e-14,4.843654455735072e-14
2.6,4.9378357024558823e-14,4.9378357024558823e-14
2.7,5.0356792492054574e-14,5.0356792492054574e-14
2.8000000000000003,5.137002419490059e-14,5.137002419490059e-14
2.9000000000000004,5.241644783729264e-14,5.241644783729264e-14
3.0000000000000004,5.3494652310408054e-14,5.3494652310408054e-14
3.1,5.460339411863716e-14,5.460339411863716e-14
3.2,5.5741575065747326e-14,5.5741575065747326e-14
3.3000000000000003,5.69082227992784e-14,5.69082227992784e-14
3.4000000000000004,5.810247385705085e-14,5.810247385705085e-14
3.5000000000000004,5.932355890196514e-14,5.932355890196514e-14
3.6,6.057078986949524e-14,6.057078986949524e-14
3.7,6.18435487863129e-14,6.18435487863129e-14
3.8000000000000003,6.314127804853483e-14,6.314127804853483e-14
3.9000000000000004,6.446347197450618e-14,6.446347197450618e-14
4.0,6.580966947020374e-14,6.580966947020374e-14
4.1,6.717944766563856e-14,6.717944766563856e-14
4.2,6.85724163984083e-14,6.85724163984083e-14
4.3,6.998821343610417e-14,6.998821343610417e-14
4.3999999999999995,7.14265003428944e-14,7.14265003428944e-14
4.5,7.288695890752693e-14,7.288695890752693e-14
4.6,7.436928806042559e-14,7.436928806042559e-14
4.7,7.587320121668903e-14,7.587320121668903e-14
4.8,7.739842398979306e-14,7.739842398979306e-14
4.9,7.894469222779095e-14,7.894469222779095e-14
5.0,8.051175032992564e-14,8.051175032992564e-14
5.1,8.209934980691809e-14,8.209934980691809e-14
5.2,8.37072480528765e-14,8.37072480528765e-14
5.3,8.533520730086038e-14,8.533520730086038e-14
5.4,8.698299373771034e-14,8.698299373771034e-14
5.5,8.865037675687617e-14,8.865037675687617e-14
5.6,9.033712833070538e-14,9.033712833070538e-14
