T_e,k_min,k_max
0.1,9.064629659757082e-22,9.064629659757082e-22
0.2,7.369155504985778e-18,7.369155504985778e-18
0.30000000000000004,1.4656041765566775e-16,1.4656041765566775e-16
0.4,6.466451413185774e-16,6.466451413185774e-16
0.5,1.5684045677525431e-15,1.5684045677525431e-15
0.6,2.8293326014897178e-15,2.8293326014897178e-15
0.7000000000000001,4.318430211973432e-15,4.318430211973432e-15
0.8,5.944971559783819e-15,5.944971559783819e-15
0.9,7.645839780020435e-15,7.645839780020435e-15
1.0,9.380127804045384e-15,9.380127804045384e-15
1.1,1.112227400639283e-14,1.112227400639283e-14
1.2000000000000002,1.2856671794624703e-14,1.2856671794624703e-14
1.3000000000000003,1.4573986600898645e-14,1.4573986600898645e-14
1.4000000000000001,1.6268779184883152e-14,1.6268779184883152e-14
1.5000000000000002,1.793801090721448e-14,1.793801090721448e-14
1.6,1.9580114490623876e-14,1.9580114490623876e-14
1.7000000000000002,2.119441911650301e-14,2.119441911650301e-14
1.8000000000000003,2.2780795402085108e-14,2.2780795402085108e-14
1.9000000000000001,2.4339436387219047e-14,2.4339436387219047e-14
2.0,2.5870722644292218e-14,2.5870722644292218e-14
2.1,2.7375139477573855e-14,2.7375139477573855e-14
2.2,2.885322641333889e-14,2.885322641333889e-14
2.3000000000000003,3.030554671345769e-14,3.030554671345769e-14
2.4000000000000004,3.173266928984647e-14,3.173266928984647e-14
2.5000000000000004,3.313515827144955e-14,3.313515827144955e-14
2.6,3.451356726120386e-14,3.451356726120386e-14
2.7,3.586843643429484e-14,3.586843643429484e-14
2.8000000000000003,3.7200291326145277e-14,3.7200291326145277e-14
2.9000000000000004,3.8509642596000147e-14,3.8509642596000147e-14
3.0000000000000004,3.9796986326788967e-14,3.9796986326788967e-14
3.1,4.10628045945507e-14,4.10628045945507e-14
3.2,4.230756614884423e-14,4.230756614884423e-14
3.3000000000000003,4.353172711296327e-14,4.353172711296327e-14
3.4000000000000004,4.4735731654395145e-14,4.4735731654395145e-14
3.5000000000000004,4.592001260129652e-14,4.592001260129652e-14
3.6,4.708499199582866e-14,4.708499199582866e-14
3.7,4.823108158383604e-14,4.823108158383604e-14
3.8000000000000003,4.935868324500687e-14,4.935868324500687e-14
3.9000000000000004,5.0468189369874206e-14,5.0468189369874206e-14
4.0,5.1559983190785063e-14,5.1559983190785063e-14
4.1,5.263443907390196e-14,5.263443907390196e-14
4.2,5.3691922778791806e-14,5.3691922778791806e-14
4.3,5.4732791691437044e-14,5.4732791691437044e-14
4.3999999999999995,5.57573950357165e-14,5.57573950357165e-14
4.5,5.676607406762755e-14,5.676607406762755e-14
4.6,5.775916225580183e-14,5.775916225580183e-14
4.7,5.873698545122551e-14,5.873698545122551e-14
4.8,5.969986204851487e-14,5.969986204851487e-14
4.9,6.064810314062236e-14,6.064810314062236e-14
5.0,6.158201266844643e-14,6.158201266844643e-14
5.1,6.250188756648664e-14,6.250188756648664e-14
5.2,6.340801790541187e-14,6.340801790541187e-14
5.3,6.430068703218899e-14,6.430068703218899e-14
5.4,6.518017170823962e-14,6.518017170823962e-14
5.5,6.604674224595336e-14,6.604674224595336e-14
5.6,6.690066264377192e-14,6.690066264377192e-14
5.7,6.774219071997422e-14,6.774219071997422e-14
5.8,6.857157824522564e-14,6.857157824522564e-14
5.9,6.938907107390479e-14,6.938907107390479e-14
6.0,7.019490927418598e-14,7.019490927418598e-14
6.1,7.09893272568289e-14,7.09893272568289e-14
6.2,7.177255390261067e-14,7.177255390261067e-14
6.3,7.254481268832422e-14,7.254481268832422e-14
6.4,7.330632181126269e-14,7.330632181126269e-14
6.5,7.405729431210639e-14,7.405729431210639e-14
6.6,7.4797938196132e-14,7.4797938196132e-14
6.7,7.552845655266643e-14,7.552845655266643e-14
6.8,7.62490476727133e-14,7.62490476727133e-14
6.9,7.695990516468585e-14,7.695990516468585e-14
7.0,7.766121806818815e-14,7.766121806818815e-14
7.1,7.835317096579228e-14,7.835317096579228e-14
7.2,7.903594409276807e-14,7.903594409276807e-14
7.3,7.970971344472789e-14,7.970971344472789e-14
7.4,8.037465088315827e-14,8.037465088315827e-14
7.5,8.103092423881432e-14,8.103092423881432e-14
7.6,8.167869741296234e-14,8.167869741296234e-14
7.7,8.231813047646027e-14,8.231813047646027e-14
7.8,8.29493797666717e-14,8.29493797666717e-14
7.9,8.35725979822161e-14,8.35725979822161e-14
8.0,8.418793427556004e-14,8.418793427556004e-14
8.1,8.479553434346125e-14,8.479553434346125e-14
8.2,8.53955405152802e-14,8.53955405152802e-14
8.3,8.598809183917729e-14,8.598809183917729e-14
8.4,8.657332416621784e-14,8.657332416621784e-14
8.5,8.715137023240946e-14,8.715137023240946e-14
8.6,8.772235973869873e-14,8.772235973869873e-14
8.7,8.8286419428957e-14,8.8286419428957e-14
8.8,8.884367316598639e-14,8.884367316598639e-14
8.9,8.939424200557911e-14,8.939424200557911e-14
9.0,8.99382442686643e-14,8.99382442686643e-14
9.1,9.047579561157849e-14,9.047579561157849e-14
9.2,9.100700909449522e-14,9.100700909449522e-14
9.3,9.153199524805175e-14,9.153199524805175e-14
9.4,9.205086213821078e-14,9.205086213821078e-14
9.5,9.256371542939443e-14,9.256371542939443e-14
9.6,9.307065844592984e-14,9.307065844592984e-14
9.700000000000001,9.357179223184453e-14,9.357179223184453e-14
9.8,9.40672156090501e-14,9.40672156090501e-14
9.9,9.45570252339526e-14,9.45570252339526e-14
10.0,9.504131565252816e-14,9.504131565252816e-14
10.1,9.55201793539016e-14,9.55201793539016e-14
10.200000000000001,9.599370682246541e-14,9.599370682246541e-14
10.3,9.646198658857685e-14,9.646198658857685e-14
10.4,9.692510527786954e-14,9.692510527786954e-14
10.5,9.738314765921565e-14,9.738314765921565e-14
10.6,9.783619669137473e-14,9.783619669137473e-14
10.700000000000001,9.828433356836365e-14,9.828433356836365e-14
10.8,9.872763776358276e-14,9.872763776358276e-14
10.9,9.91661870727315e-14,9.91661870727315e-14
11.0,9.960005765554668e-14,9.960005765554668e-14
11.1,1.0002932407639578e-13,1.0002932407639578e-13
