T_e,k_min,k_max
0.1,2.2019736756853685e-66,1.5753585980474502e-65
0.2,3.613639996466336e-41,1.481718070901255e-40
0.30000000000000004,1.0534525490340506e-32,3.1904420654238223e-32
0.4,1.9110359689240397e-28,4.8775025715423765e-28
0.5,7.066423217713911e-26,1.5855143638626853e-25
0.6,3.707625795653346e-24,7.517929647790293e-24
0.7000000000000001,6.363682404774085e-23,1.1877923476575343e-22
0.8,5.429386152927373e-22,9.843450651773153e-22
0.9,2.9048641997256844e-21,5.248387564078187e-21
1.0,1.1201429308901067e-20,2.008503656727802e-20
1.1,3.400873235912674e-20,6.031764227178321e-20
1.2000000000000002,8.622923957776964e-20,1.5090554173465626e-19
1.3000000000000003,1.901880456646491e-19,3.2788059756693805e-19
1.4000000000000001,3.674134050504197e-19,6.374327480628412e-19
1.5000000000000002,6.480828646974254e-19,1.1334533911017365e-18
1.6,1.0657713781149966e-18,1.8741652990484237e-18
1.7000000000000002,1.638602682022675e-18,2.9185024016774536e-18
1.8000000000000003,2.3732133996113155e-18,4.322764276239033e-18
1.9000000000000001,3.3038323641079466e-18,6.137872558341221e-18
2.0,4.44729117814277e-18,8.407373090608765e-18
2.1,5.816417163585707e-18,1.1166190628741433e-17
2.2,7.42000131546304e-18,1.4440057293659418e-17
2.3000000000000003,9.262958210022136e-18,1.8245493346183673e-17
2.4000000000000004,1.1346618015596225e-17,2.2590206874234445e-17
2.5000000000000004,1.366910003173633e-17,2.7473785996878524e-17
2.6,1.622572768662326e-17,3.288857418180464e-17
2.7,1.900945494052935e-17,3.8820640054187364e-17
2.8000000000000003,2.201128274825353e-17,4.5250773838286137e-17
2.9000000000000004,2.5220651346612106e-17,5.215546126016665e-17
3.0000000000000004,2.8625799680121865e-17,5.950780145848675e-17
3.1,3.2214087434178624e-17,6.727834802046492e-17
3.2,3.597227814111298e-17,7.543586189422305e-17
3.3000000000000003,3.988678389490533e-17,8.394797202215137e-17
3.4000000000000004,4.3943873567314825e-17,9.278174454454067e-17
3.5000000000000004,4.8129847241582284e-17,1.019041647757143e-16
3.6,5.243118001551609e-17,1.1128253824430507e-16
