T_e,k_min,k_max
0.1,5.147296179087564e-14,5.147296179087564e-14
0.2,9.432691868815987e-14,9.432691868815987e-14
0.30000000000000004,1.1247767767914311e-13,1.1247767767914311e-13
0.4,1.1967449265050723e-13,1.1967449265050723e-13
0.5,1.2178980842929489e-13,1.2178980842929489e-13
0.6,1.2148268238597908e-13,1.2148268238597908e-13
0.7000000000000001,1.2003229158948452e-13,1.2003229158948452e-13
0.8,1.180796122216481e-13,1.180796122216481e-13
0.9,1.1595366407021465e-13,1.1595366407021465e-13
1.0,1.1382446601977295e-13,1.1382446601977295e-13
1.1,1.117784421376111e-13,1.117784421376111e-13
1.2000000000000002,1.0985712426474505e-13,1.0985712426474505e-13
1.3000000000000003,1.0807766761237273e-13,1.0807766761237273e-13
1.4000000000000001,1.0644400494448871e-13,1.0644400494448871e-13
1.5000000000000002,1.0495302684258325e-13,1.0495302684258325e-13
1.6,1.035980486317843e-13,1.035980486317843e-13
1.7000000000000002,1.023707648522461e-13,1.023707648522461e-13
1.8000000000000003,1.0126234615301075e-13,1.0126234615301075e-13
1.9000000000000001,1.0026404380831074e-13,1.0026404380831074e-13
2.0,9.93675093925766e-14,9.93675093925766e-14
2.1,9.85649493990119e-14,9.85649493990119e-14
2.2,9.78491847868843e-14,9.78491847868843e-14
2.3000000000000003,9.721365670256922e-14,9.721365670256922e-14
2.4000000000000004,9.665240279544463e-14,9.665240279544463e-14
2.5000000000000004,9.616001858555855e-14,9.616001858555855e-14
2.6,9.573161238494562e-14,9.573161238494562e-14
2.7,9.536275869342116e-14,9.536275869342116e-14
2.8000000000000003,9.504945283010092e-14,9.504945283010092e-14
2.9000000000000004,9.47880682611829e-14,9.47880682611829e-14
3.0000000000000004,9.457531730636576e-14,9.457531730636576e-14
3.1,9.44082154474639e-14,9.44082154474639e-14
3.2,9.428404919945565e-14,9.428404919945565e-14
3.3000000000000003,9.42003473603294e-14,9.42003473603294e-14
3.4000000000000004,9.415485538472153e-14,9.415485538472153e-14
3.5000000000000004,9.414551259840582e-14,9.414551259840582e-14
3.6,9.417043196816852e-14,9.417043196816852e-14
3.7,9.422788215334331e-14,9.422788215334331e-14
3.8000000000000003,9.431627158443317e-14,9.431627158443317e-14
3.9000000000000004,9.443413433665056e-14,9.443413433665056e-14
4.0,9.458011758938947e-14,9.458011758938947e-14
4.1,9.475297048517884e-14,9.475297048517884e-14
4.2,9.49515342227932e-14,9.49515342227932e-14
4.3,9.517473323854429e-14,9.517473323854429e-14
4.3999999999999995,9.542156734722972e-14,9.542156734722972e-14
