T_e,k_min,k_max
0.1,4.143225031426197e-23,4.143225031426197e-23
0.2,6.969275575403598e-19,6.969275575403598e-19
0.30000000000000004,1.634414034950793e-17,1.634414034950793e-17
0.4,7.479199318800292e-17,7.479199318800292e-17
0.5,1.793106849772406e-16,1.793106849772406e-16
0.6,3.1261846157391854e-16,3.1261846157391854e-16
0.7000000000000001,4.557295599646841e-16,4.557295599646841e-16
0.8,5.953104651465172e-16,5.953104651465172e-16
0.9,7.238699240359785e-16,7.238699240359785e-16
1.0,8.380548621640068e-16,8.380548621640068e-16
1.1,9.370239863483103e-16,9.370239863483103e-16
1.2000000000000002,1.0213096679067516e-15,1.0213096679067516e-15
1.3000000000000003,1.0921120189789583e-15,1.0921120189789583e-15
1.4000000000000001,1.1508901372727286e-15,1.1508901372727286e-15
1.5000000000000002,1.1991385258788465e-15,1.1991385258788465e-15
1.6,1.2382730937691558e-15,1.2382730937691558e-15
1.7000000000000002,1.2695797309039499e-15,1.2695797309039499e-15
1.8000000000000003,1.29419740842872e-15,1.29419740842872e-15
1.9000000000000001,1.3131194826253701e-15,1.3131194826253701e-15
2.0,1.3272038950802163e-15,1.3272038950802163e-15
2.1,1.3371870770146228e-15,1.3371870770146228e-15
2.2,1.3436987495236386e-15,1.3436987495236386e-15
2.3000000000000003,1.3472761759271326e-15,1.3472761759271326e-15
2.4000000000000004,1.3483771920750329e-15,1.3483771920750329e-15
2.5000000000000004,1.3473917652449347e-15,1.3473917652449347e-15
2.6,1.3446520585529418e-15,1.3446520585529418e-15
2.7,1.3404410909301439e-15,1.3404410909301439e-15
2.8000000000000003,1.3350001323523785e-15,1.3350001323523785e-15
2.9000000000000004,1.328534988917598e-15,1.328534988917598e-15
3.0000000000000004,1.3212213290985219e-15,1.3212213290985219e-15
3.1,1.3132091904779768e-15,1.3132091904779768e-15
3.2,1.3046267907591467e-15,1.3046267907591467e-15
3.3000000000000003,1.2955837506765728e-15,1.2955837506765728e-15
3.4000000000000004,1.286173821068996e-15,1.286173821068996e-15
3.5000000000000004,1.276477192475984e-15,1.276477192475984e-15
3.6,1.2665624534130104e-15,1.2665624534130104e-15
3.7,1.256488252957878e-15,1.256488252957878e-15
3.8000000000000003,1.2463047143235834e-15,1.2463047143235834e-15
3.9000000000000004,1.2360546385287115e-15,1.2360546385287115e-15
4.0,1.2257745309240144e-15,1.2257745309240144e-15
4.1,1.2154954780175436e-15,1.2154954780175436e-15
4.2,1.205243897601022e-15,1.205243897601022e-15
4.3,1.1950421814766723e-15,1.1950421814766723e-15
4.3999999999999995,1.1849092469955484e-15,1.1849092469955484e-15
4.5,1.1748610110428934e-15,1.1748610110428934e-15
4.6,1.164910797956728e-15,1.164910797956728e-15
4.7,1.1550696910706816e-15,1.1550696910706816e-15
4.8,1.1453468360708695e-15,1.1453468360708695e-15
4.9,1.135749703099628e-15,1.135749703099628e-15
5.0,1.1262843134848694e-15,1.1262843134848694e-15
5.1,1.1169554360885491e-15,1.1169554360885491e-15
5.2,1.1077667575230419e-15,1.1077667575230419e-15
5.3,1.0987210298567173e-15,1.0987210298567173e-15
5.4,1.0898201989003299e-15,1.0898201989003299e-15
5.5,1.0810655157180268e-15,1.0810655157180268e-15
