T_e,k_min,k_max
0.1,8.61470675530329e-14,8.61470675530329e-14
0.2,1.0030926156760217e-13,1.0030926156760217e-13
0.30000000000000004,1.0323157648232405e-13,1.0323157648232405e-13
0.4,1.0184510085137615e-13,1.0184510085137615e-13
0.5,9.872701819305429e-14,9.872701819305429e-14
0.6,9.501220086623359e-14,9.501220086623359e-14
0.7000000000000001,9.121524731829052e-14,9.121524731829052e-14
0.8,8.756696295846329e-14,8.756696295846329e-14
0.9,8.416434347317883e-14,8.416434347317883e-14
1.0,8.104025589658635e-14,8.104025589658635e-14
1.1,7.819688278633923e-14,7.819688278633923e-14
1.2000000000000002,7.562218694979481e-14,7.562218694979481e-14
1.3000000000000003,7.329814764463935e-14,7.329814764463935e-14
1.4000000000000001,7.12048927242726e-14,7.12048927242726e-14
1.5000000000000002,6.932273722693947e-14,6.932273722693947e-14
1.6,6.763313808241466e-14,6.763313808241466e-14
1.7000000000000002,6.611908489964477e-14,6.611908489964477e-14
1.8000000000000003,6.476519994140626e-14,6.476519994140626e-14
1.9000000000000001,6.355769266960786e-14,6.355769266960786e-14
2.0,6.248424669823852e-14,6.248424669823852e-14
2.1,6.153388064532351e-14,6.153388064532351e-14
2.2,6.069680458074137e-14,6.069680458074137e-14
2.3000000000000003,5.996428292217516e-14,5.996428292217516e-14
2.4000000000000004,5.932850870073534e-14,5.932850870073534e-14
2.5000000000000004,5.87824909143268e-14,5.87824909143268e-14
2.6,5.831995500588871e-14,5.831995500588871e-14
2.7,5.79352556724502e-14,5.79352556724502e-14
2.8000000000000003,5.762330085015706e-14,5.762330085015706e-14
2.9000000000000004,5.737948561494002e-14,5.737948561494002e-14
3.0000000000000004,5.719963476625425e-14,5.719963476625425e-14
3.1,5.707995295345617e-14,5.707995295345617e-14
3.2,5.701698132256485e-14,5.701698132256485e-14
3.3000000000000003,5.700755978462855e-14,5.700755978462855e-14
3.4000000000000004,5.704879412499388e-14,5.704879412499388e-14
3.5000000000000004,5.71380272804823e-14,5.71380272804823e-14
3.6,5.727281420702042e-14,5.727281420702042e-14
3.7,5.745089984355478e-14,5.745089984355478e-14
3.8000000000000003,5.767019974988068e-14,5.767019974988068e-14
3.9000000000000004,5.792878305747157e-14,5.792878305747157e-14
4.0,5.822485742477197e-14,5.822485742477197e-14
4.1,5.855675573293998e-14,5.855675573293998e-14
4.2,5.892292429582716e-14,5.892292429582716e-14
4.3,5.932191239006968e-14,5.932191239006968e-14
4.3999999999999995,5.97523629384107e-14,5.97523629384107e-14
4.5,6.021300420253082e-14,6.021300420253082e-14
4.6,6.070264236136778e-14,6.070264236136778e-14
4.7,6.12201548677019e-14,6.12201548677019e-14
4.8,6.176448449011833e-14,6.176448449011833e-14
4.9,6.233463395971961e-14,6.233463395971961e-14
5.0,6.29296611514651e-14,6.29296611514651e-14
5.1,6.354867473903252e-14,6.354867473903252e-14
5.2,6.419083026985176e-14,6.419083026985176e-14
5.3,6.48553266136453e-14,6.48553266136453e-14
5.4,6.55414027435797e-14,6.55414027435797e-14
5.5,6.624833481412411e-14,6.624833481412411e-14
5.6,6.697543350403803e-14,6.697543350403803e-14
5.7,6.772204159666567e-14,6.772204159666567e-14
5.8,6.848753177298197e-14,6.848753177298197e-14
5.9,6.927130459568131e-14,6.927130459568131e-14
6.0,7.007278666508488e-14,7.007278666508488e-14
6.1,7.08914289298148e-14,7.08914289298148e-14
6.2,7.172670513708608e-14,7.172670513708608e-14
6.3,7.257811040913649e-14,7.257811040913649e-14
6.4,7.344515993378052e-14,7.344515993378052e-14
6.5,7.432738775836532e-14,7.432738775836532e-14
6.6,7.522434567754312e-14,7.522434567754312e-14
6.7,7.613560220627955e-14,7.613560220627955e-14
6.8,7.706074163040524e-14,7.706074163040524e-14
6.9,7.799936312780384e-14,7.799936312780384e-14
7.0,7.895107995402731e-14,7.895107995402731e-14
7.1,7.991551868674848e-14,7.991551868674848e-14
7.2,8.089231852401085e-14,8.089231852401085e-14
7.3,8.188113063172643e-14,8.188113063172643e-14
7.4,8.288161753631002e-14,8.288161753631002e-14
7.5,8.389345255872763e-14,8.389345255872763e-14
7.6,8.49163192865877e-14,8.49163192865877e-14
7.7,8.594991108121432e-14,8.594991108121432e-14
7.8,8.699393061692385e-14,8.699393061692385e-14
7.9,8.80480894499774e-14,8.80480894499774e-14
8.0,8.911210761490667e-14,8.911210761490667e-14
8.1,9.018571324611664e-14,9.018571324611664e-14
8.2,9.126864222284962e-14,9.126864222284962e-14
8.3,9.236063783576264e-14,9.236063783576264e-14
8.4,9.346145047351802e-14,9.346145047351802e-14
8.5,9.457083732792412e-14,9.457083732792412e-14
8.6,9.568856211628394e-14,9.568856211628394e-14
8.7,9.681439481972081e-14,9.681439481972081e-14
8.8,9.79481114363521e-14,9.79481114363521e-14
8.9,9.908949374827189e-14,9.908949374827189e-14
9.0,1.0023832910138756e-13,1.0023832910138756e-13
9.1,1.0139441019723157e-13,1.0139441019723157e-13
9.2,1.0255753489593694e-13,1.0255753489593694e-13
9.3,1.0372750602963017e-13,1.0372750602963017e-13
9.4,1.049041312255513e-13,1.049041312255513e-13
9.5,1.0608722273826354e-13,1.0608722273826354e-13
9.6,1.0727659729036456e-13,1.0727659729036456e-13
9.700000000000001,1.0847207592115241e-13,1.0847207592115241e-13
9.8,1.0967348384274337e-13,1.0967348384274337e-13
9.9,1.1088065030317222e-13,1.1088065030317222e-13
10.0,1.1209340845604273e-13,1.1209340845604273e-13
10.1,1.133115952363249e-13,1.133115952363249e-13
10.200000000000001,1.1453505124192554e-13,1.1453505124192554e-13
10.3,1.1576362062068496e-13,1.1576362062068496e-13
10.4,1.169971509624768e-13,1.169971509624768e-13
10.5,1.1823549319611032e-13,1.1823549319611032e-13
10.6,1.1947850149075577e-13,1.1947850149075577e-13
10.700000000000001,1.2072603316163142e-13,1.2072603316163142e-13
10.8,1.219779485797101e-13,1.219779485797101e-13
10.9,1.2323411108521808e-13,1.2323411108521808e-13
11.0,1.2449438690471447e-13,1.2449438690471447e-13
11.1,1.2575864507155385e-13,1.2575864507155385e-13
11.200000000000001,1.2702675734954756e-13,1.2702675734954756e-13
11.3,1.2829859815965013e-13,1.2829859815965013e-13
11.4,1.295740445095105e-13,1.295740445095105e-13
11.5,1.3085297592573518e-13,1.3085297592573518e-13
11.6,1.321352743887234e-13,1.321352743887234e-13
11.700000000000001,1.3342082426993972e-13,1.3342082426993972e-13
11.8,1.3470951227150058e-13,1.3470951227150058e-13
11.9,1.36001227367958e-13,1.36001227367958e-13
12.0,1.3729586075016976e-13,1.3729586075016976e-13
