T_e,k_min,k_max
0.1,5.743371421494406e-67,1.0550878838136073e-65
0.2,1.37305436928168e-41,1.3162625682463985e-40
0.30000000000000004,4.389054580154316e-33,2.854960583192445e-32
0.4,8.265681861317476e-29,4.175643424318047e-28
0.5,3.132872426152929e-26,1.3235478307647132e-25
0.6,1.6762249686146962e-24,6.2040161033701404e-24
0.7000000000000001,2.921502535457827e-23,9.780622751977949e-23
0.8,2.5213901059198277e-22,7.812222419605365e-22
0.9,1.3603165831776878e-21,3.966633636578003e-21
1.0,5.2775141961042e-21,1.466280781471775e-20
1.1,1.609823308081754e-20,4.300700520510043e-20
1.2000000000000002,4.098043128024325e-20,1.0598954248960328e-19
1.3000000000000003,9.073586722251782e-20,2.283493775857513e-19
1.4000000000000001,1.799835203990482e-19,4.42436806046428e-19
1.5000000000000002,3.2687050438587493e-19,7.871432543582339e-19
1.6,5.524579767765534e-19,1.3061775492774262e-18
1.7000000000000002,8.7990546256624e-19,2.0460178159084542e-18
1.8000000000000003,1.3335809573472737e-18,3.0538304685860658e-18
1.9000000000000001,1.9381966195087313e-18,4.375569720746122e-18
2.0,2.718036491562065e-18,6.054386705321705e-18
2.1,3.696312481392653e-18,8.129405194304183e-18
2.2,4.894661476567277e-18,1.0634867847292026e-17
2.3000000000000003,6.3327804607560514e-18,1.3599622790518579e-17
2.4000000000000004,8.028186822256015e-18,1.7046901817773264e-17
2.5000000000000004,9.996086166194466e-18,2.0994334418063836e-17
2.6,1.224932838123531e-17,2.545414228692776e-17
2.7,1.479843324757674e-17,3.04334638643927e-17
2.8000000000000003,1.7651668595604433e-17,3.593476551280421e-17
2.9000000000000004,2.0815166304024138e-17,4.1956303699686866e-17
3.0000000000000004,2.4293063855620728e-17,4.849261006340311e-17
3.1,2.8087661504341605e-17,5.55349780087872e-17
3.2,3.219958721840128e-17,6.307193528246843e-17
3.3000000000000003,3.6627963393648923e-17,7.108969176551935e-17
3.4000000000000004,4.1370570868289766e-17,7.957255554846441e-17
3.5000000000000004,4.6424007029187416e-17,8.850331332660117e-17
3.6,5.178383580979086e-17,9.786357339821746e-17
3.7,5.744472817393822e-17,1.076340711918992e-16
3.8000000000000003,6.340059229259348e-17,1.1779493840961641e-16
3.9000000000000004,6.964469308398588e-17,1.283259376532161e-16
4.0,7.616976113016369e-17,1.3920666489103697e-16
4.1,8.266289108962336e-17,1.5041672239083675e-16
4.2,8.894978782378471e-17,1.619358648532537e-16
4.3,9.539881986055102e-17,1.7374412147261459e-16
4.3999999999999995,1.0200110601863336e-16,1.8582189656475198e-16
4.5,1.0874806515816896e-16,1.981500512619178e-16
4.6,1.1563143101853148e-16,2.107099686033628e-16
4.7,1.2264326093930483e-16,2.234836041618386e-16
4.8,1.297759395797934e-16,2.364535241520553e-16
4.9,1.3665021597801833e-16,2.4960293277469987e-16
5.0,1.4357919132068552e-16,2.629156903641556e-16
5.1,1.505805332557006e-16,2.7637632373294417e-16
5.2,1.5764820265957168e-16,2.899700299430815e-16
5.3,1.6477649302780736e-16,3.036826745850093e-16
5.4,1.7196001853146668e-16,3.175007855087854e-16
5.5,1.7919370143453484e-16,3.3141154282956865e-16
5.6,1.8647275911577878e-16,3.454027659195794e-16
5.7,1.937926908949612e-16,3.594628980008854e-16
5.8,2.011492648260109e-16,3.7358098886669187e-16
5.9,2.0853850458812244e-16,3.8774667618237174e-16
6.0,2.1595667657902357e-16,4.0195016575031546e-16
6.1,2.234002772921481e-16,4.161822110639223e-16
6.2,2.3086602104057426e-16,4.304340924247806e-16
6.3,2.3835082807483014e-16,4.446975958525248e-16
6.4,2.4585181312856975e-16,4.589649919782258e-16
6.5,2.5336627441528673e-16,4.732290150787851e-16
6.6,2.608916830903331e-16,4.874828423810443e-16
6.7,2.6842567318523165e-16,5.017200737396113e-16
6.8,2.759660320153833e-16,5.1593471177125e-16
6.9,2.83510691057539e-16,5.301211425106261e-16
7.0,2.9105771728965646e-16,5.442741166368335e-16
7.1,2.98605304982834e-16,5.583887313071289e-16
7.2,3.061517679327607e-16,5.724604126233106e-16
7.3,3.136955321164523e-16,5.864848987469595e-16
7.4,3.212351287588333e-16,6.004582236720737e-16
7.5,3.2876918779290984e-16,6.143767016572159e-16
7.6,3.362964316967832e-16,6.282369123140422e-16
7.7,3.438156696905139e-16,6.420356863447718e-16
7.8,3.5132579227581894e-16,6.557700919176761e-16
7.9,3.582238685516261e-16,6.694374216669123e-16
8.0,3.643043434244094e-16,6.830351803008221e-16
8.1,3.703218387245243e-16,6.965610728011854e-16
8.2,3.7627628682750614e-16,7.1001299319466e-16
8.3,3.8216769041367336e-16,7.233890138767783e-16
8.4,3.8799611679837365e-16,7.366873754682995e-16
8.5,3.937616926395061e-16,7.499064771834048e-16
8.6,3.9946459899960496e-16,7.630448676891108e-16
8.7,4.0510506674089023e-16,7.761012364353536e-16
8.8,4.1068337223279426e-16,7.890744054354008e-16
8.9,4.1619983335255104e-16,8.01963321476571e-16
9.0,4.216548057604887e-16,8.147670487416655e-16
9.1,4.27048679432681e-16,8.274847618219963e-16
9.2,4.3238187543459604e-16,8.401157391034323e-16
9.3,4.376548429203239e-16,8.526593565074862e-16
9.4,4.42868056342866e-16,8.65115081570061e-16
9.5,4.480220128618284e-16,8.774824678411149e-16
9.6,4.531172299356843e-16,8.897611495891451e-16
9.700000000000001,4.581542430865514e-16,9.01950836795039e-16
9.8,4.63133603826164e-16,9.140513104204854e-16
9.9,4.680558777324239e-16,9.260624179367845e-16
10.0,4.729216426665772e-16,9.379840691005128e-16
10.1,4.77731487121683e-16,9.498162319631354e-16
10.200000000000001,4.824860086936364e-16,9.615589291022366e-16
10.3,4.871858126665588e-16,9.73212234062653e-16
10.4,4.918315107048937e-16,9.847762679963332e-16
10.5,4.964237196450356e-16,9.962511964903156e-16
10.6,5.009630603797847e-16,1.007637226572732e-15
10.700000000000001,5.054501568293487e-16,1.0189346038872621e-15
10.8,5.098856349930288e-16,1.0301436100269407e-15
10.9,5.142701220760965e-16,1.041264560018693e-15
11.0,5.186042456867393e-16,1.0522977999504208e-15
11.1,5.228886330982795e-16,1.06324370473288e-15
11.200000000000001,5.271239105721861e-16,1.0741026759890146e-15
11.3,5.313107027377008e-16,1.0848751400637718e-15
11.4,5.354496320241636e-16,1.095561546147831e-15
11.5,5.395413181423903e-16,1.106162364508988e-15
11.6,5.43586377611695e-16,1.116678084825306e-15
11.700000000000001,5.475854233293673e-16,1.1271092146144437e-15
11.8,5.515390641796372e-16,1.1374562777538697e-15
11.9,5.554479046793509e-16,1.1477198130869775e-15
12.0,5.593125446577642e-16,1.1579003731103613e-15
12.1,5.631335789680388e-16,1.1679985227377886e-15
12.200000000000001,5.669115972281809e-16,1.1780148381366432e-15
12.3,5.7064718358931695e-16,1.1879499056328354e-15
12.4,5.743409165293425e-16,1.1978043206804178e-15
12.5,5.779933686701034e-16,1.2075786868923095e-15
12.6,5.816051066164073e-16,1.2172736151287828e-15
12.700000000000001,5.85176690815259e-16,1.2268897226404969e-15
12.8,5.887086754338351e-16,1.2364276322630774e-15
12.9,5.922016082548111e-16,1.2458879716603875e-15
