T_e,k_min,k_max
0.1,1.0056348608221202e-16,1.0056348608221202e-16
0.2,8.360130919742372e-15,8.360130919742372e-15
0.30000000000000004,3.915024576846004e-14,3.915024576846004e-14
0.4,8.740329046331923e-14,8.740329046331923e-14
0.5,1.441632924024943e-13,1.441632924024943e-13
0.6,2.0386102956442994e-13,2.0386102956442994e-13
0.7000000000000001,2.636294276095104e-13,2.636294276095104e-13
0.8,3.220855978943002e-13,3.220855978943002e-13
0.9,3.78603680776004e-13,3.78603680776004e-13
1.0,4.3293939247553624e-13,4.3293939247553624e-13
1.1,4.8504050027598e-13,4.8504050027598e-13
1.2000000000000002,5.349502882707442e-13,5.349502882707442e-13
1.3000000000000003,5.827576265860323e-13,5.827576265860323e-13
1.4000000000000001,6.28570836276993e-13,6.28570836276993e-13
1.5000000000000002,6.725039731101082e-13,6.725039731101082e-13
1.6,7.146697215798158e-13,7.146697215798158e-13
1.7000000000000002,7.551758594192363e-13,7.551758594192363e-13
1.8000000000000003,7.941236652514534e-13,7.941236652514534e-13
1.9000000000000001,8.316073812233528e-13,8.316073812233528e-13
2.0,8.677142387062813e-13,8.677142387062813e-13
2.1,9.025247720948534e-13,9.025247720948534e-13
2.2,9.361132666505144e-13,9.361132666505144e-13
2.3000000000000003,9.685482546788508e-13,9.685482546788508e-13
2.4000000000000004,9.99893013333129e-13,9.99893013333129e-13
2.5000000000000004,1.0302060396985667e-12,1.0302060396985667e-12
2.6,1.059541491609692e-12,1.059541491609692e-12
2.7,1.0879495899006934e-12,1.0879495899006934e-12
2.8000000000000003,1.1154769817964779e-12,1.1154769817964779e-12
2.9000000000000004,1.1421670672668412e-12,1.1421670672668412e-12
3.0000000000000004,1.1680602911799817e-12,1.1680602911799817e-12
3.1,1.193194404473825e-12,1.193194404473825e-12
3.2,1.2176046975928578e-12,1.2176046975928578e-12
3.3000000000000003,1.2413242092797503e-12,1.2413242092797503e-12
3.4000000000000004,1.2643839135621501e-12,1.2643839135621501e-12
3.5000000000000004,1.2868128874920973e-12,1.2868128874920973e-12
3.6,1.308638461910256e-12,1.308638461910256e-12
3.7,1.329886357236496e-12,1.329886357236496e-12
3.8000000000000003,1.350580806040539e-12,1.350580806040539e-12
3.9000000000000004,1.3707446639244114e-12,1.3707446639244114e-12
4.0,1.3903995100524274e-12,1.3903995100524274e-12
4.1,1.4095657384930667e-12,1.4095657384930667e-12
4.2,1.4282626413881105e-12,1.4282626413881105e-12
4.3,1.446508484835434e-12,1.446508484835434e-12
4.3999999999999995,1.4643205782604508e-12,1.4643205782604508e-12
4.5,1.4817153379550501e-12,1.4817153379550501e-12
4.6,1.4987083453799045e-12,1.4987083453799045e-12
4.7,1.5153144007543928e-12,1.5153144007543928e-12
4.8,1.5315475723964394e-12,1.5315475723964394e-12
4.9,1.5474212422209645e-12,1.5474212422209645e-12
5.0,1.5629481477591001e-12,1.5629481477591001e-12
5.1,1.578140421019898e-12,1.578140421019898e-12
5.2,1.5930096244809943e-12,1.5930096244809943e-12
5.3,1.6075667844639264e-12,1.6075667844639264e-12
