T_e,k_min,k_max
0.1,7.692759437919627e-21,7.692759437919627e-21
0.2,4.8218970123538155e-17,4.8218970123538155e-17
0.30000000000000004,8.577213665638572e-16,8.577213665638572e-16
0.4,3.5348623281282603e-15,3.5348623281282603e-15
0.5,8.175565919191684e-15,8.175565919191684e-15
0.6,1.4226243454069184e-14,1.4226243454069184e-14
0.7000000000000001,2.1093333546942895e-14,2.1093333546942895e-14
0.8,2.834131260318911e-14,2.834131260318911e-14
0.9,3.5693772684073513e-14,3.5693772684073513e-14
1.0,4.298899652393481e-14,4.298899652393481e-14
1.1,5.0138744213480687e-14,5.0138744213480687e-14
1.2000000000000002,5.709923555212656e-14,5.709923555212656e-14
1.3000000000000003,6.385262164569847e-14,6.385262164569847e-14
1.4000000000000001,7.039567229074696e-14,7.039567229074696e-14
1.5000000000000002,7.673303823530494e-14,7.673303823530494e-14
1.6,8.287331015247985e-14,8.287331015247985e-14
1.7000000000000002,8.882675636225735e-14,8.882675636225735e-14
1.8000000000000003,9.460405732461813e-14,9.460405732461813e-14
1.9000000000000001,1.0021562666416514e-13,1.0021562666416514e-13
2.0,1.0567127362242702e-13,1.0567127362242702e-13
2.1,1.1098006109790989e-13,1.1098006109790989e-13
2.2,1.1615027285182217e-13,1.1615027285182217e-13
2.3000000000000003,1.211894389787104e-13,1.211894389787104e-13
2.4000000000000004,1.2610438996571143e-13,1.2610438996571143e-13
2.5000000000000004,1.3090132233062822e-13,1.3090132233062822e-13
2.6,1.355858663646158e-13,1.355858663646158e-13
2.7,1.401631509599332e-13,1.401631509599332e-13
2.8000000000000003,1.4463786310687653e-13,1.4463786310687653e-13
2.9000000000000004,1.4901430113687566e-13,1.4901430113687566e-13
3.0000000000000004,1.5329642161751519e-13,1.5329642161751519e-13
3.1,1.5748788023998565e-13,1.5748788023998565e-13
3.2,1.6159206724345286e-13,1.6159206724345286e-13
3.3000000000000003,1.6561213799259952e-13,1.6561213799259952e-13
3.4000000000000004,1.6955103932330692e-13,1.6955103932330692e-13
3.5000000000000004,1.7341153223232872e-13,1.7341153223232872e-13
3.6,1.7719621143050856e-13,1.7719621143050856e-13
3.7,1.8090752221741114e-13,1.8090752221741114e-13
3.8000000000000003,1.8454777507465775e-13,1.8454777507465775e-13
3.9000000000000004,1.8811915831908457e-13,1.8811915831908457e-13
4.0,1.916237491065121e-13,1.916237491065121e-13
4.1,1.9506352303281185e-13,1.9506352303281185e-13
4.2,1.9844036254088225e-13,1.9844036254088225e-13
4.3,2.0175606430960094e-13,2.0175606430960094e-13
4.3999999999999995,2.0501234577321877e-13,2.0501234577321877e-13
4.5,2.0821085089634656e-13,2.0821085089634656e-13
4.6,2.1135315531007353e-13,2.1135315531007353e-13
4.7,2.144407708982876e-13,2.144407708982876e-13
4.8,2.1747514990945717e-13,2.1747514990945717e-13
4.9,2.2045768865756147e-13,2.2045768865756147e-13
5.0,2.2338973086615638e-13,2.2338973086615638e-13
5.1,2.262725707014319e-13,2.262725707014319e-13
5.2,2.291074555332938e-13,2.291074555332938e-13
5.3,2.3189558845777264e-13,2.3189558845777264e-13
5.4,2.3463813060924237e-13,2.3463813060924237e-13
5.5,2.373362032868752e-13,2.373362032868752e-13
5.6,2.3999088991632945e-13,2.3999088991632945e-13
5.7,2.4260323786477726e-13,2.4260323786477726e-13
5.8,2.451742601249277e-13,2.451742601249277e-13
5.9,2.477049368816177e-13,2.477049368816177e-13
6.0,2.5019621697277774e-13,2.5019621697277774e-13
6.1,2.52649019255072e-13,2.52649019255072e-13
6.2,2.550642338832224e-13,2.550642338832224e-13
6.3,2.5744272351092724e-13,2.5744272351092724e-13
6.4,2.597853244203362e-13,2.597853244203362e-13
6.5,2.620928475862312e-13,2.620928475862312e-13
6.6,2.643660796803598e-13,2.643660796803598e-13
6.7,2.66605784020762e-13,2.66605784020762e-13
6.8,2.688127014704031e-13,2.688127014704031e-13
6.9,2.7098755128896963e-13,2.7098755128896963e-13
7.0,2.7313103194128677e-13,2.7313103194128677e-13
7.1,2.7524382186546726e-13,2.7524382186546726e-13
7.2,2.773265802035959e-13,2.773265802035959e-13
7.3,2.7937994749748743e-13,2.7937994749748743e-13
7.4,2.8140454635181926e-13,2.8140454635181926e-13
7.5,2.834009820667311e-13,2.834009820667311e-13
7.6,2.853698432418015e-13,2.853698432418015e-13
7.7,2.873117023531451e-13,2.873117023531451e-13
7.8,2.8922711630522915e-13,2.8922711630522915e-13
7.9,2.911166269588812e-13,2.911166269588812e-13
8.0,2.9298076163683806e-13,2.9298076163683806e-13
8.1,2.948200336080857e-13,2.948200336080857e-13
8.2,2.9663494255214533e-13,2.9663494255214533e-13
