T_e,k_min,k_max
0.1,1.0937545643726006e-73,8.976790878702229e-73
0.2,3.9156871772394506e-45,3.2003718713423734e-44
0.30000000000000004,1.4464128691334933e-35,9.76101273200982e-35
0.4,9.307335087756192e-31,5.234321157718089e-30
0.5,7.4026585965693315e-28,3.550045473167207e-27
0.6,6.510802618710495e-26,2.7200073328896697e-25
0.7000000000000001,1.6217633225906273e-24,6.009253668948865e-24
0.8,1.8321402783785356e-23,6.42689206465152e-23
0.9,1.2199501362732045e-22,4.268651858739195e-22
1.0,5.604332043199509e-22,1.9523116288316604e-21
1.1,1.963792899641639e-21,6.801609326649646e-21
1.2000000000000002,5.612674237904464e-21,1.9309046327443228e-20
1.3000000000000003,1.3706875733223575e-20,4.6806562397383894e-20
1.4000000000000001,2.9570117395184125e-20,1.0018049801093227e-19
1.5000000000000002,5.774753581618849e-20,1.9402971870784844e-19
1.6,1.0398296959194669e-19,3.464068806473054e-19
1.7000000000000002,1.750885477097561e-19,5.782125483739371e-19
1.8000000000000003,2.787342048060006e-19,9.123578404641659e-19
1.9000000000000001,4.2318975150061897e-19,1.3728196649819052e-18
2.0,6.17049986124155e-19,1.9836964403239042e-18
2.1,8.68967361135144e-19,2.7683445589912723e-18
2.2,1.1874095018610199e-18,3.748646279887682e-18
2.3000000000000003,1.5804520374102885e-18,4.944433740120819e-18
2.4000000000000004,2.0556115476206715e-18,6.373073702068688e-18
2.5000000000000004,2.6197192033156144e-18,8.049203807300956e-18
2.6,3.2788328074810636e-18,9.98460273387336e-18
2.7,4.03818321049821e-18,1.2188172567143771e-17
2.8000000000000003,4.853586367718773e-18,1.4666010682324146e-17
2.9000000000000004,5.7528824610247875e-18,1.7421549441103243e-17
3.0000000000000004,6.742664279170684e-18,2.0455744190143077e-17
3.1,7.822905974124964e-18,2.3767292805646804e-17
3.2,8.99299692678183e-18,2.7352872938734694e-17
3.3000000000000003,1.0251808733255134e-17,3.1207385917121765e-17
3.4000000000000004,1.1597761116615473e-17,3.53241987986479e-17
