T_e,k_min,k_max
0.1,4.2126644868131375e-24,4.2126644868131375e-24
0.2,1.1445824390471965e-18,1.1445824390471965e-18
0.30000000000000004,7.248172710486276e-17,7.248172710486276e-17
0.4,5.68151504273132e-16,5.68151504273132e-16
0.5,1.9369395118119507e-15,1.9369395118119507e-15
0.6,4.364779282738921e-15,4.364779282738921e-15
0.7000000000000001,7.774868006779253e-15,7.774868006779253e-15
0.8,1.1967157967978092e-14,1.1967157967978092e-14
0.9,1.672009622203549e-14,1.672009622203549e-14
1.0,2.1837200647205734e-14,2.1837200647205734e-14
1.1,2.7160814980533456e-14,2.7160814980533456e-14
1.2000000000000002,3.257121266598537e-14,3.257121266598537e-14
1.3000000000000003,3.798064991545869e-14,3.798064991545869e-14
1.4000000000000001,4.332658702764648e-14,4.332658702764648e-14
1.5000000000000002,4.856564519527359e-14,4.856564519527359e-14
1.6,5.366871006532109e-14,5.366871006532109e-14
1.7000000000000002,5.861714425186421e-14,5.861714425186421e-14
1.8000000000000003,6.339992910230652e-14,6.339992910230652e-14
1.9000000000000001,6.801153713736214e-14,6.801153713736214e-14
2.0,7.245036071742529e-14,7.245036071742529e-14
2.1,7.671755686215248e-14,7.671755686215248e-14
2.2,8.08162005524826e-14,8.08162005524826e-14
2.3000000000000003,8.47506656307065e-14,8.47506656307065e-14
2.4000000000000004,8.852617327786276e-14,8.852617327786276e-14
2.5000000000000004,9.214846380726344e-14,9.214846380726344e-14
2.6,9.562355922239536e-14,9.562355922239536e-14
2.7,9.8957592612388e-14,9.8957592612388e-14
2.8000000000000003,1.021566867851517e-13,1.021566867851517e-13
2.9000000000000004,1.0522686917335805e-13,1.0522686917335805e-13
3.0000000000000004,1.0817401344548271e-13,1.0817401344548271e-13
3.1,1.1100380074755979e-13,1.1100380074755979e-13
3.2,1.1372169533537895e-13,1.1372169533537895e-13
3.3000000000000003,1.1633293070931897e-13,1.1633293070931897e-13
3.4000000000000004,1.1884250336396486e-13,1.1884250336396486e-13
3.5000000000000004,1.2125517200594263e-13,1.2125517200594263e-13
3.6,1.2357546064435035e-13,1.2357546064435035e-13
3.7,1.258076643686006e-13,1.258076643686006e-13
3.8000000000000003,1.2795585693490365e-13,1.2795585693490365e-13
3.9000000000000004,1.3002389951177688e-13,1.3002389951177688e-13
4.0,1.3201545010657837e-13,1.3201545010657837e-13
4.1,1.33933973323695e-13,1.33933973323695e-13
4.2,1.3578275020146687e-13,1.3578275020146687e-13
4.3,1.3756488794721662e-13,1.3756488794721662e-13
4.3999999999999995,1.3928332944387945e-13,1.3928332944387945e-13
4.5,1.4094086244215917e-13,1.4094086244215917e-13
4.6,1.4254012838224443e-13,1.4254012838224443e-13
4.7,1.440836308114224e-13,1.440836308114224e-13
4.8,1.4557374338034573e-13,1.4557374338034573e-13
4.9,1.4701271741266915e-13,1.4701271741266915e-13
5.0,1.4840268905137627e-13,1.4840268905137627e-13
5.1,1.4974568599118927e-13,1.4974568599118927e-13
5.2,1.5104363381061958e-13,1.5104363381061958e-13
5.3,1.5229836191996007e-13,1.5229836191996007e-13
5.4,1.5351160914319535e-13,1.5351160914319535e-13
5.5,1.5468502895270048e-13,1.5468502895270048e-13
5.6,1.558201943759105e-13,1.558201943759105e-13
5.7,1.569186025930423e-13,1.569186025930423e-13
5.8,1.5798167924455146e-13,1.5798167924455146e-13
5.9,1.5901078246640422e-13,1.5901078246640422e-13
6.0,1.6000720667050363e-13,1.6000720667050363e-13
6.1,1.609721860867881e-13,1.609721860867881e-13
6.2,1.6190689808264948e-13,1.6190689808264948e-13
6.3,1.6281246627442988e-13,1.6281246627442988e-13
6.4,1.6368996344487385e-13,1.6368996344487385e-13
6.5,1.6454041427954362e-13,1.6454041427954362e-13
6.6,1.6536479793436538e-13,1.6536479793436538e-13
6.7,1.6616405044567085e-13,1.6616405044567085e-13
6.8,1.6693906699332865e-13,1.6693906699332865e-13
6.9,1.676907040268375e-13,1.676907040268375e-13
7.0,1.6841978126356644e-13,1.6841978126356644e-13
7.1,1.6912708356768777e-13,1.6912708356768777e-13
7.2,1.6981336271774672e-13,1.6981336271774672e-13
7.3,1.7047933907024928e-13,1.7047933907024928e-13
7.4,1.7112570312613169e-13,1.7112570312613169e-13
7.5,1.717531170064834e-13,1.717531170064834e-13
7.6,1.7236221584344793e-13,1.7236221584344793e-13
7.7,1.7295360909180436e-13,1.7295360909180436e-13
