T_e,k_min,k_max
0.1,2.6406529824527346e-21,2.6406529824527346e-21
0.2,9.49758989973488e-18,9.49758989973488e-18
0.30000000000000004,1.7570243996543986e-16,1.7570243996543986e-16
0.4,8.460542663975969e-16,8.460542663975969e-16
0.5,2.321377583520002e-15,2.321377583520002e-15
0.6,4.733920632388159e-15,4.733920632388159e-15
0.7000000000000001,8.073733622756945e-15,8.073733622756945e-15
0.8,1.2248066497819656e-14,1.2248066497819656e-14
0.9,1.71291116424797e-14,1.71291116424797e-14
1.0,2.258326647122988e-14,2.258326647122988e-14
1.1,2.848619571099008e-14,2.848619571099008e-14
1.2000000000000002,3.472909883179532e-14,3.472909883179532e-14
1.3000000000000003,4.122016338701033e-14,4.122016338701033e-14
1.4000000000000001,4.788366196117288e-14,4.788366196117288e-14
1.5000000000000002,5.4658072267551514e-14,5.4658072267551514e-14
1.6,6.149393979298719e-14,6.149393979298719e-14
1.7000000000000002,6.835182781774042e-14,6.835182781774042e-14
1.8000000000000003,7.520049818230613e-14,7.520049818230613e-14
1.9000000000000001,8.201536334644169e-14,8.201536334644169e-14
2.0,8.877720139261752e-14,8.877720139261752e-14
2.1,9.547110518485366e-14,9.547110518485366e-14
2.2,1.0208563084064647e-13,1.0208563084064647e-13
2.3000000000000003,1.0861211144691787e-13,1.0861211144691787e-13
2.4000000000000004,1.1504410559616134e-13,1.1504410559616134e-13
2.5000000000000004,1.2137695484347158e-13,1.2137695484347158e-13
2.6,1.2760742864286404e-13,1.2760742864286404e-13
2.7,1.3373343931165238e-13,1.3373343931165238e-13
2.8000000000000003,1.3975381296881874e-13,1.3975381296881874e-13
2.9000000000000004,1.4566810520214643e-13,1.4566810520214643e-13
3.0000000000000004,1.5147645249992608e-13,1.5147645249992608e-13
3.1,1.5717945231469587e-13,1.5717945231469587e-13
3.2,1.6277806608697238e-13,1.6277806608697238e-13
3.3000000000000003,1.6827354071658243e-13,1.6827354071658243e-13
3.4000000000000004,1.7366734488791584e-13,1.7366734488791584e-13
3.5000000000000004,1.7896111738258746e-13,1.7896111738258746e-13
3.6,1.8415662508863658e-13,1.8415662508863658e-13
3.7,1.8925572887143107e-13,1.8925572887143107e-13
3.8000000000000003,1.9426035583324834e-13,1.9426035583324834e-13
3.9000000000000004,1.9917247677603065e-13,1.9917247677603065e-13
4.0,2.0399408791078795e-13,2.0399408791078795e-13
4.1,2.0872719603988063e-13,2.0872719603988063e-13
4.2,2.1337380658463298e-13,2.1337380658463298e-13
4.3,2.1793591394801186e-13,2.1793591394801186e-13
4.3999999999999995,2.224154937964232e-13,2.224154937964232e-13
4.5,2.2681449692072747e-13,2.2681449692072747e-13
4.6,2.3113484439805296e-13,2.3113484439805296e-13
4.7,2.353784238258246e-13,2.353784238258246e-13
4.8,2.395470864399237e-13,2.395470864399237e-13
4.9,2.4364264496189984e-13,2.4364264496189984e-13
5.0,2.4766687204711396e-13,2.4766687204711396e-13
5.1,2.516214992277722e-13,2.516214992277722e-13
5.2,2.5550821626293555e-13,2.5550821626293555e-13
5.3,2.593286708225076e-13,2.593286708225076e-13
5.4,2.630844684445062e-13,2.630844684445062e-13
5.5,2.6677717271509484e-13,2.6677717271509484e-13
5.6,2.7040830562927445e-13,2.7040830562927445e-13
5.7,2.7397934809712986e-13,2.7397934809712986e-13
5.8,2.774917405663425e-13,2.774917405663425e-13
5.9,2.8094688373652754e-13,2.8094688373652754e-13
6.0,2.8434613934499635e-13,2.8434613934499635e-13
6.1,2.876908310069313e-13,2.876908310069313e-13
6.2,2.90982245095787e-13,2.90982245095787e-13
6.3,2.9422163165210824e-13,2.9422163165210824e-13
6.4,2.974102053109479e-13,2.974102053109479e-13
6.5,3.005491462397415e-13,3.005491462397415e-13
6.6,3.0363960107990325e-13,3.0363960107990325e-13
6.7,3.066826838865959e-13,3.066826838865959e-13
6.8,3.09679477062123e-13,3.09679477062123e-13
6.9,3.126310322792364e-13,3.126310322792364e-13
7.0,3.1553837139135683e-13,3.1553837139135683e-13
7.1,3.184024873273082e-13,3.184024873273082e-13
7.2,3.212243449686658e-13,3.212243449686658e-13
7.3,3.240048820082426e-13,3.240048820082426e-13
7.4,3.2674500978859863e-13,3.2674500978859863e-13
7.5,3.294456141197519e-13,3.294456141197519e-13
7.6,3.3210755607552703e-13,3.3210755607552703e-13
7.7,3.3473167276818243e-13,3.3473167276818243e-13
7.8,3.373187781011356e-13,3.373187781011356e-13
7.9,3.398696634997534e-13,3.398696634997534e-13
8.0,3.423850986202911e-13,3.423850986202911e-13
8.1,3.448658320371659e-13,3.448658320371659e-13
8.2,3.473125919088345e-13,3.473125919088345e-13
8.3,3.497260866226043e-13,3.497260866226043e-13
8.4,3.521070054187673e-13,3.521070054187673e-13
8.5,3.544560189944836e-13,3.544560189944836e-13
8.6,3.5677378008787593e-13,3.5677378008787593e-13
8.7,3.590609240428192e-13,3.590609240428192e-13
8.8,3.6131806935493107e-13,3.6131806935493107e-13
8.9,3.635458181992746e-13,3.635458181992746e-13
9.0,3.6574475694030033e-13,3.6574475694030033e-13
9.1,3.679154566245519e-13,3.679154566245519e-13
9.2,3.7005847345666083e-13,3.7005847345666083e-13
9.3,3.7217434925915395e-13,3.7217434925915395e-13
9.4,3.742636119165959e-13,3.742636119165959e-13
9.5,3.7632677580457186e-13,3.7632677580457186e-13
9.6,3.7836434220401993e-13,3.7836434220401993e-13
9.700000000000001,3.803767997014019e-13,3.803767997014019e-13
9.8,3.823646245751994e-13,3.823646245751994e-13
9.9,3.843282811692021e-13,3.843282811692021e-13
10.0,3.862682222530538e-13,3.862682222530538e-13
10.1,3.8818488937049615e-13,3.8818488937049615e-13
10.200000000000001,3.900787131757505e-13,3.900787131757505e-13
10.3,3.919501137584564e-13,3.919501137584564e-13
10.4,3.9379950095757577e-13,3.9379950095757577e-13
10.5,3.9562727466465873e-13,3.9562727466465873e-13
10.6,3.974338251168546e-13,3.974338251168546e-13
10.700000000000001,3.992195331800357e-13,3.992195331800357e-13
10.8,4.009847706223965e-13,4.009847706223965e-13
10.9,4.0272990037886784e-13,4.0272990037886784e-13
11.0,4.044552768066826e-13,4.044552768066826e-13
11.1,4.061612459324145e-13,4.061612459324145e-13
11.200000000000001,4.0784814569079827e-13,4.0784814569079827e-13
11.3,4.095163061556322e-13,4.095163061556322e-13
11.4,4.111660497630474e-13,4.111660497630474e-13
11.5,4.127976915274245e-13,4.127976915274245e-13
11.6,4.1441153925022333e-13,4.1441153925022333e-13
