T_e,k_min,k_max
0.1,3.849293982430137e-15,3.849293982430137e-15
0.2,1.0003430386036338e-14,1.0003430386036338e-14
0.30000000000000004,1.3804829763198585e-14,1.3804829763198585e-14
0.4,1.5943791290610032e-14,1.5943791290610032e-14
0.5,1.7150471519789414e-14,1.7150471519789414e-14
0.6,1.783385810823908e-14,1.783385810823908e-14
0.7000000000000001,1.8214648053736105e-14,1.8214648053736105e-14
0.8,1.8415547188044332e-14,1.8415547188044332e-14
0.9,1.850741491896175e-14,1.850741491896175e-14
1.0,1.853261312329323e-14,1.853261312329323e-14
1.1,1.8517219038440616e-14,1.8517219038440616e-14
1.2000000000000002,1.847767281946435e-14,1.847767281946435e-14
1.3000000000000003,1.8424535674531638e-14,1.8424535674531638e-14
1.4000000000000001,1.8364687895437192e-14,1.8364687895437192e-14
1.5000000000000002,1.830265334129546e-14,1.830265334129546e-14
1.6,1.8241418606397858e-14,1.8241418606397858e-14
1.7000000000000002,1.8182951334191904e-14,1.8182951334191904e-14
1.8000000000000003,1.812853479368165e-14,1.812853479368165e-14
1.9000000000000001,1.8078987687252784e-14,1.8078987687252784e-14
2.0,1.8034810818398696e-14,1.8034810818398696e-14
2.1,1.7996286303869292e-14,1.7996286303869292e-14
2.2,1.796354549294435e-14,1.796354549294435e-14
2.3000000000000003,1.7936615947388078e-14,1.7936615947388078e-14
2.4000000000000004,1.791545422271523e-14,1.791545422271523e-14
2.5000000000000004,1.7899968904810957e-14,1.7899968904810957e-14
2.6,1.789003688550318e-14,1.789003688550318e-14
2.7,1.7885514901079382e-14,1.7885514901079382e-14
2.8000000000000003,1.7886247722908736e-14,1.7886247722908736e-14
2.9000000000000004,1.7892073963984166e-14,1.7892073963984166e-14
3.0000000000000004,1.7902830176799594e-14,1.7902830176799594e-14
3.1,1.791835372023681e-14,1.791835372023681e-14
3.2,1.7938484736126717e-14,1.7938484736126717e-14
3.3000000000000003,1.7963067480279973e-14,1.7963067480279973e-14
3.4000000000000004,1.7991951185078636e-14,1.7991951185078636e-14
3.5000000000000004,1.802499058249519e-14,1.802499058249519e-14
3.6,1.8062046181780587e-14,1.8062046181780587e-14
3.7,1.8102984371018963e-14,1.8102984371018963e-14
3.8000000000000003,1.8147677393511754e-14,1.8147677393511754e-14
3.9000000000000004,1.819600323659567e-14,1.819600323659567e-14
4.0,1.8247845460660713e-14,1.8247845460660713e-14
4.1,1.8303092988854503e-14,1.8303092988854503e-14
4.2,1.8361639872551334e-14,1.8361639872551334e-14
4.3,1.8423385043632996e-14,1.8423385043632996e-14
4.3999999999999995,1.8488232061617958e-14,1.8488232061617958e-14
4.5,1.8556088861421533e-14,1.8556088861421533e-14
4.6,1.8626867505843062e-14,1.8626867505843062e-14
4.7,1.870048394561345e-14,1.870048394561345e-14
4.8,1.877685778889319e-14,1.877685778889319e-14
4.9,1.885591208140892e-14,1.885591208140892e-14
5.0,1.8937573097895964e-14,1.8937573097895964e-14
5.1,1.9021770145131885e-14,1.9021770145131885e-14
5.2,1.9108435376567762e-14,1.9108435376567762e-14
5.3,1.919750361836455e-14,1.919750361836455e-14
5.4,1.9288912206502185e-14,1.9288912206502185e-14
5.5,1.938260083453457e-14,1.938260083453457e-14
5.6,1.9478511411502702e-14,1.9478511411502702e-14
5.7,1.9576587929482745e-14,1.9576587929482745e-14
5.8,1.9676776340229297e-14,1.9676776340229297e-14
5.9,1.977902444037105e-14,1.977902444037105e-14
6.0,1.9883281764623112e-14,1.9883281764623112e-14
6.1,1.998949948649468e-14,1.998949948649468e-14
6.2,2.0097630325989548e-14,2.0097630325989548e-14
6.3,2.0207628463819208e-14,2.0207628463819208e-14
6.4,2.0319449461672748e-14,2.0319449461672748e-14
6.5,2.0433050188112514e-14,2.0433050188112514e-14
6.6,2.0548388749690416e-14,2.0548388749690416e-14
6.7,2.066542442690482e-14,2.066542442690482e-14
6.8,2.078411761464259e-14,2.078411761464259e-14
6.9,2.0904429766774935e-14,2.0904429766774935e-14
7.0,2.1026323344598395e-14,2.1026323344598395e-14
7.1,2.1149761768834168e-14,2.1149761768834168e-14
7.2,2.127470937491945e-14,2.127470937491945e-14
7.3,2.140113137134381e-14,2.140113137134381e-14
7.4,2.1528993800802094e-14,2.1528993800802094e-14
7.5,2.1658263503951868e-14,2.1658263503951868e-14
7.6,2.178890808557981e-14,2.178890808557981e-14
7.7,2.1920895882995765e-14,2.1920895882995765e-14
7.8,2.2054195936487247e-14,2.2054195936487247e-14
7.9,2.218877796167987e-14,2.218877796167987e-14
8.0,2.2324612323660825e-14,2.2324612323660825e-14
8.1,2.2461670012733605e-14,2.2461670012733605e-14
8.2,2.2599922621682515e-14,2.2599922621682515e-14
8.3,2.2739342324434318e-14,2.2739342324434318e-14
8.4,2.2879901856013654e-14,2.2879901856013654e-14
8.5,2.302157449369644e-14,2.302157449369644e-14
8.6,2.3164334039273e-14,2.3164334039273e-14
8.7,2.3308154802339403e-14,2.3308154802339403e-14
8.8,2.3453011584542003e-14,2.3453011584542003e-14
8.9,2.3598879664705484e-14,2.3598879664705484e-14
9.0,2.3745734784780754e-14,2.3745734784780754e-14
9.1,2.389355313655328e-14,2.389355313655328e-14
9.2,2.40423113490574e-14,2.40423113490574e-14
