T_e,k_min,k_max
0.1,4.437015197521516e-16,4.437015197521516e-16
0.2,1.909098522765818e-14,1.909098522765818e-14
0.30000000000000004,7.307364995699242e-14,7.307364995699242e-14
0.4,1.4749750856502676e-13,1.4749750856502676e-13
0.5,2.28573450578388e-13,2.28573450578388e-13
0.6,3.094443986678791e-13,3.094443986678791e-13
0.7000000000000001,3.872478001123939e-13,3.872478001123939e-13
0.8,4.609886800492932e-13,4.609886800492932e-13
0.9,5.304932165978388e-13,5.304932165978388e-13
1.0,5.959296165465649e-13,5.959296165465649e-13
1.1,6.575923265684275e-13,6.575923265684275e-13
1.2000000000000002,7.158062049477864e-13,7.158062049477864e-13
1.3000000000000003,7.708855546154652e-13,7.708855546154652e-13
1.4000000000000001,8.231183284529952e-13,8.231183284529952e-13
1.5000000000000002,8.727617775943433e-13,8.727617775943433e-13
1.6,9.200431178147584e-13,9.200431178147584e-13
1.7000000000000002,9.651621959216786e-13,9.651621959216786e-13
1.8000000000000003,1.0082947533320047e-12,1.0082947533320047e-12
1.9000000000000001,1.049595657969475e-12,1.049595657969475e-12
2.0,1.0892018469863016e-12,1.0892018469863016e-12
2.1,1.1272348987901022e-12,1.1272348987901022e-12
2.2,1.163803233253194e-12,1.163803233253194e-12
2.3000000000000003,1.1990039726689658e-12,1.1990039726689658e-12
2.4000000000000004,1.2329245072045128e-12,1.2329245072045128e-12
2.5000000000000004,1.2656438093315338e-12,1.2656438093315338e-12
2.6,1.2972335379806201e-12,1.2972335379806201e-12
2.7,1.3277589678810369e-12,1.3277589678810369e-12
2.8000000000000003,1.3572797740966646e-12,1.3572797740966646e-12
2.9000000000000004,1.3858506967491279e-12,1.3858506967491279e-12
3.0000000000000004,1.4135221065465091e-12,1.4135221065465091e-12
3.1,1.440340488042136e-12,1.440340488042136e-12
3.2,1.4663488544828286e-12,1.4663488544828286e-12
3.3000000000000003,1.4915871055898546e-12,1.4915871055898546e-12
3.4000000000000004,1.5160923375631981e-12,1.5160923375631981e-12
3.5000000000000004,1.539899112930873e-12,1.539899112930873e-12
3.6,1.5630396965102308e-12,1.5630396965102308e-12
3.7,1.5855442626484246e-12,1.5855442626484246e-12
3.8000000000000003,1.6074410780157687e-12,1.6074410780157687e-12
3.9000000000000004,1.628756663498814e-12,1.628756663498814e-12
4.0,1.6495159381472778e-12,1.6495159381472778e-12
4.1,1.6697423476446416e-12,1.6697423476446416e-12
4.2,1.6894579793752963e-12,1.6894579793752963e-12
4.3,1.7086836658348716e-12,1.7086836658348716e-12
4.3999999999999995,1.7274390778614153e-12,1.7274390778614153e-12
4.5,1.7457428089425696e-12,1.7457428089425696e-12
4.6,1.7636124516691848e-12,1.7636124516691848e-12
4.7,1.78106466725196e-12,1.78106466725196e-12
4.8,1.7981152488890784e-12,1.7981152488890784e-12
4.9,1.8147791796648754e-12,1.8147791796648754e-12
5.0,1.8310706855686954e-12,1.8310706855686954e-12
