obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"549.7401","549.7400","0.0010","1.69e+06",C,"13.07571571","15.3310400","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).6d","2[7/2]*","4",7,9,,"T1218n","L2634",
"550.7643","550.7642","0.0010","3.6e+05",D+,"13.09487256","15.34600299","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).6d","2[7/2]*","3",5,7,,"T1218n","L2634",
,"552.6491","0.0010","1.7e+05",D+,"13.07571571","15.31916801","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<1/2>).5d","2[5/2]*","3",7,7,,"T1218n",,
,"553.0497","0.0010","1.2e+05",E,"13.27303810","15.5148657","3s2.3p5.(2P*<3/2>).4p","2[1/2]","0","3s2.3p5.(2P*<3/2>).8d","2[1/2]*","1",1,3,,"T1164n",,
,"553.6017","0.0010","2.7e+05",D+,"13.30222747","15.541820","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).8s","2[1/2]*","1",5,3,,"T1218n",,
,"554.2399","0.0010","4.1e+04",D,"13.07571571","15.31272913","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<1/2>).5d","2[5/2]*","2",7,5,,"T1218n",,
,"555.4284","0.0010","7.9e+04",E,"13.28263902","15.5148657","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).8d","2[1/2]*","1",3,3,,"T1164n",,
"556.0246","556.0245","0.0010","1.42e+06",C,"12.90701530","15.13684847","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).5d","2[3/2]*","2",3,5,,"T1218n","L2634",
,"556.1220","0.0010","2.2e+05",D+,"13.28263902","15.5120816","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).6d","2[5/2]*","2",3,5,,"T1218n",,
"557.4088","557.4089","0.0010","6.6e+05",C,"13.09487256","15.31916801","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<1/2>).5d","2[5/2]*","3",5,7,,"T1218n","L2634",
,"557.5776","0.0010","4.6e+04",D,"13.28263902","15.5062613","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).6d","2[3/2]*","2",3,5,,"T1218n",,
,"558.3421","0.0010","5.6e+04",D+,"13.07571571","15.29629325","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<1/2>).5d","2[3/2]*","2",7,5,,"T1218n",,
,"559.0271","0.0010","1.5e+05",D+,"13.09487256","15.31272913","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<1/2>).5d","2[5/2]*","2",5,5,,"T1218n",,
,"559.9030","0.0010","4.2e+05",E,"13.30222747","15.5166146","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).6d","2[5/2]*","3",5,7,,"T1164n",,
"560.8290","560.8289","0.0010","2.20e+06",C,"12.90701530","15.11774638","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).5d","2[1/2]*","1",3,3,,"T1218n","L2634",
,"561.9574","0.0010","2.1e+05",D,"13.15314387","15.3594356","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).7s","2[1/2]*","1",3,3,,"T1218n",,
,"562.2482","0.0010","3.6e+05",D,"13.15314387","15.3582946","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).7s","2[1/2]*","0",3,1,,"T1218n",,
,"562.5331","0.0010","1.4e+05",D,"13.30222747","15.5062613","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).6d","2[3/2]*","2",5,5,,"T1218n",,
,"563.7141","0.0010","9.6e+04",D,"13.15314387","15.3525603","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).6d","2[5/2]*","2",3,5,,"T1164n",,
,"563.890","0.010","9.1e+04",D,"13.27303810","15.471767","3s2.3p5.(2P*<3/2>).4p","2[1/2]","0","3s2.3p5.(2P*<3/2>).7d","2[3/2]*","1",1,3,,"T1164n",,
,"564.069","0.010","2.1e+05",D,"13.27303810","15.471072","3s2.3p5.(2P*<3/2>).4p","2[1/2]","0","3s2.3p5.(2P*<3/2>).9s","2[3/2]*","1",1,3,,"T1164n",,
,"564.2942","0.0010","8.7e+04",D,"13.15314387","15.3502992","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).6d","2[3/2]*","2",3,5,,"T1164n",,
,"565.0254","0.0010","1.2e+05",D,"13.17177770","15.3660895","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).8s","2[3/2]*","1",5,3,,"T1218n",,
"565.2272","565.2272","0.0010","3.20e+06",C,"12.90701530","15.10054371","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).5d","2[1/2]*","0",3,1,,"T1218n","L2634",
,"566.0697","0.0010","2.6e+05",D,"13.17177770","15.3620414","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).8s","2[3/2]*","2",5,5,,"T1218n",,
,"568.3476","0.0010","2.0e+05",D,"13.17177770","15.3532632","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).6d","2[5/2]*","3",5,7,,"T1218n",,
,"568.5307","0.0010","2.0e+05",D,"13.17177770","15.3525603","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).6d","2[5/2]*","2",5,5,,"T1218n",,
,"570.2454","0.0010","5.9e+05",D,"13.17177770","15.34600299","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).6d","2[7/2]*","3",5,7,,"T1218n",,
,"571.4089","0.0010","8.7e+04",D,"13.27303810","15.4428362","3s2.3p5.(2P*<3/2>).4p","2[1/2]","0","3s2.3p5.(2P*<3/2>).7d","2[1/2]*","1",1,3,,"T1164n",,
"574.1112","574.1112","0.0010","8.7e+05",D,"13.15314387","15.31272913","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).5d","2[5/2]*","2",3,5,,"T1218n","L2634",
,"577.3715","0.0010","2.0e+05",D,"13.17177770","15.31916801","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).5d","2[5/2]*","3",5,7,,"T1218n",,
,"577.5610","0.0010","1.1e+05",D,"13.30222747","15.4489134","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).7d","2[3/2]*","2",5,5,,"T1218n",,
,"578.5140","0.0010","8.1e+04",D,"13.15314387","15.29629325","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).5d","2[3/2]*","2",3,5,,"T1218n",,
,"579.1079","0.0010","4.6e+04",D,"13.17177770","15.31272913","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).5d","2[5/2]*","2",5,5,,"T1218n",,
,"579.2007","0.0010","3.4e+04",D,"13.30222747","15.4428362","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).7d","2[1/2]*","1",5,3,,"T1218n",,
,"580.3689","0.0010","4.2e+05",D,"13.17177770","15.30807770","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).6d","2[1/2]*","1",5,3,,"T1218n",,
"583.5880","583.5881","0.0010","5.2e+05",C,"13.17177770","15.29629325","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).5d","2[3/2]*","2",5,5,,"T1218n,T1164n","L2634",
,"584.5399","0.0010","3.3e+04",D,"13.32785705","15.4489134","3s2.3p5.(2P*<1/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).7d","2[3/2]*","2",3,5,,"T1218n",,
"586.1934","586.1935","0.0010","2.85e+05",C,"12.90701530","15.02208834","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).6s","2[1/2]*","1",3,3,,"T1218n,T1164n","L2634",
"588.4254","588.4255","0.0010","1.23e+06",C,"12.90701530","15.0140655","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).6s","2[1/2]*","0",3,1,,"T1218n","L2634",
"589.0216","589.0215","0.0010","1.29e+06",C,"13.07571571","15.18063359","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).7s","2[3/2]*","2",7,5,,"T1218n","L2634",
"591.3723","591.3723","0.0010","1.05e+06",C,"12.90701530","15.00356588","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).4d","2[3/2]*","1",3,3,,"T1218n,T1164n","L2634",
,"591.8238","0.0010","5.9e+04",D,"13.09487256","15.1898239","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).5d","2[3/2]*","1",5,3,,"T1218n",,
,"592.8767","0.0010","3.7e+04",D+,"13.07571571","15.1669463","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).5d","2[5/2]*","3",7,7,,"T1218n",,
"593.0456","593.0455","0.0010","1.1e+06",D+,"13.09487256","15.18550800","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).7s","2[3/2]*","1",5,3,,"T1218n","L2634",
,"594.2501","0.0010","1.2e+05",D,"13.27303810","15.3594356","3s2.3p5.(2P*<3/2>).4p","2[1/2]","0","3s2.3p5.(2P*<1/2>).7s","2[1/2]*","1",1,3,,"T1218n",,
"594.4315","594.4315","0.0010","1.8e+05",D,"13.09487256","15.18063359","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).7s","2[3/2]*","2",5,5,,"T1218n","L2634",
,"594.5535","0.0010","3.6e+04",D,"13.07571571","15.1610486","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).5d","2[5/2]*","2",7,5,,"T1218n",,
,"595.0907","0.0010","1.5e+05",D,"13.28263902","15.3660895","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).8s","2[3/2]*","1",3,3,,"T1218n",,
,"596.613","0.010","7.7e+04",D,"13.27303810","15.351173","3s2.3p5.(2P*<3/2>).4p","2[1/2]","0","3s2.3p5.(2P*<1/2>).5d","2[3/2]*","1",1,3,,"T1218n",,
,"596.9973","0.0010","1.8e+05",D,"13.28263902","15.3594356","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).7s","2[1/2]*","1",3,3,,"T1218n",,
,"597.3255","0.0010","1.1e+06",D+,"13.28263902","15.3582946","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).7s","2[1/2]*","0",3,1,,"T1218n",,
,"598.3580","0.0010","1.2e+04",D,"13.09487256","15.1669463","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).5d","2[5/2]*","3",5,7,,"T1218n",,
"598.8960","598.8960","0.0010","1.2e+05",D,"13.07571571","15.14592830","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).5d","2[7/2]*","3",7,7,,"T1218n","L2634",
,"598.9802","0.0010","6.1e+04",D,"13.28263902","15.3525603","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).6d","2[5/2]*","2",3,5,,"T1218n",,
,"599.6353","0.0010","2.6e+04",D,"13.28263902","15.3502992","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).6d","2[3/2]*","2",3,5,,"T1164n",,
"600.0661","600.0660","0.0010","1.4e+05",D,"13.09487256","15.1610486","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).5d","2[5/2]*","2",5,5,,"T1218n","L2634",
,"600.7388","0.0010","1.4e+05",D+,"13.30222747","15.3660895","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).8s","2[3/2]*","1",5,3,,"T1218n",,
,"601.5343","0.0010","1.4e+05",D+,"13.07571571","15.13684847","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).5d","2[3/2]*","2",7,5,,"T1218n",,
"602.6819","602.6818","0.0010","9.0e+05",D+,"13.30222747","15.3594356","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).7s","2[1/2]*","1",5,3,,"T1218n","L2634",
"603.3797","603.3797","0.0010","2.46e+06",C,"13.07571571","15.13054437","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).5d","2[7/2]*","4",7,9,,"T1218n,T1164n","L2634",
"604.4896","604.4897","0.0010","1.47e+06",C,"13.09487256","15.14592830","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).5d","2[7/2]*","3",5,7,,"T1218n","L2634",
"605.4399","605.4399","0.0010","1.9e+05",D+,"12.90701530","14.95485204","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).4d","2[5/2]*","2",3,5,,"T1218n","L2634",
"606.1050","606.1050","0.0010","4.2e+05",C,"12.90701530","14.95260474","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).4d","2[3/2]*","2",3,5,,"T1218n,T1164n","L2634",
,"606.6429","0.0010","5.8e+04",D,"13.30222747","15.34600299","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).6d","2[7/2]*","3",5,7,,"T1218n",,
,"608.2927","0.0010","7.5e+04",D,"13.32785705","15.3660895","3s2.3p5.(2P*<1/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).8s","2[3/2]*","1",3,3,,"T1218n",,
,"608.7564","0.0010","9.0e+03",,"13.15314387","15.1898239","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).5d","2[3/2]*","1",3,3,,"T1218n",,
,"609.2471","0.0010","3.0e+05",D,"13.27303810","15.30807770","3s2.3p5.(2P*<3/2>).4p","2[1/2]","0","3s2.3p5.(2P*<3/2>).6d","2[1/2]*","1",1,3,,"T1218n",,
"610.0491","610.0491","0.0010","5.2e+05",D+,"13.15314387","15.18550800","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).7s","2[3/2]*","1",3,3,,"T1218n","L2634",
,"610.2850","0.0010","3.3e+05",D+,"13.32785705","15.3594356","3s2.3p5.(2P*<1/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).7s","2[1/2]*","1",3,3,,"T1218n",,
,"610.6280","0.0010","3.4e+05",D,"13.32785705","15.3582946","3s2.3p5.(2P*<1/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).7s","2[1/2]*","0",3,1,,"T1218n",,
"610.7325","610.7325","0.0010","1.21e+06",C,"13.28263902","15.31272913","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).5d","2[5/2]*","2",3,5,,"T1218n","L2634",
,"611.5158","0.0010","4.7e+04",D+,"13.15314387","15.18063359","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).7s","2[3/2]*","2",3,5,,"T1218n",,
,"612.1350","0.0010","5.1e+04",D+,"13.28263902","15.30807770","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).6d","2[1/2]*","1",3,3,,"T1218n",,
,"612.3574","0.0010","1.3e+04",D,"13.32785705","15.3525603","3s2.3p5.(2P*<1/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).6d","2[5/2]*","2",3,5,,"T1164n",,
,"612.9112","0.0010","1.1e+05",D+,"13.09487256","15.11774638","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).5d","2[1/2]*","1",5,3,,"T1218n",,
,"613.0420","0.0010","8.6e+04",D,"13.32785705","15.3502992","3s2.3p5.(2P*<1/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).6d","2[3/2]*","2",3,5,,"T1164n",,
"614.7142","614.7142","0.0010","7.6e+05",C,"13.30222747","15.31916801","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).5d","2[5/2]*","3",5,7,,"T1218n","L2634",
,"615.6942","0.0010","5.1e+05",D,"13.17177770","15.18550800","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).7s","2[3/2]*","1",5,3,,"T1218n",,
,"616.6829","0.0010","9.89e+04",C,"13.30222747","15.31272913","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).5d","2[5/2]*","2",5,5,,"T1218n",,
"617.1881","617.1881","0.0010","5.0e+05",C,"13.17177770","15.18063359","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).7s","2[3/2]*","2",5,5,,"T1218n","L2634",
"617.4804","617.4805","0.0010","6.7e+05",C,"13.15314387","15.1610486","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).5d","2[5/2]*","2",3,5,,"T1218n","L2634",
,"618.1129","0.0010","6.6e+04",D,"13.30222747","15.30807770","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).6d","2[1/2]*","1",5,3,,"T1218n",,
"621.4222","621.4222","0.0010","3.9e+05",D+,"13.17177770","15.1669463","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).5d","2[5/2]*","3",5,7,,"T1218n","L2634",
"621.7658","621.7658","0.0010","5.7e+05",D+,"13.30222747","15.29629325","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).5d","2[3/2]*","2",5,5,,"T1218n","L2634",
,"623.2645","0.0010","1.2e+04",D,"13.17177770","15.1610486","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).5d","2[5/2]*","2",5,5,,"T1164n",,
,"624.5117","0.0010","1.3e+05",D,"13.32785705","15.3131553","3s2.3p5.(2P*<1/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).6d","2[1/2]*","0",3,1,,"T1218n",,
,"624.6458","0.0010","2.0e+04",D,"13.32785705","15.31272913","3s2.3p5.(2P*<1/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).5d","2[5/2]*","2",3,5,,"T1218n",,
,"625.0134","0.0010","6.8e+04",D,"13.15314387","15.13684847","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).5d","2[3/2]*","2",3,5,,"T1218n",,
,"628.0382","0.0010","2.0e+04",D,"13.17177770","15.14592830","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).5d","2[7/2]*","3",5,7,,"T1218n",,
"629.8613","629.8614","0.0010","9.0e+05",D+,"13.32785705","15.29629325","3s2.3p5.(2P*<1/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).5d","2[3/2]*","2",3,5,,"T1218n","L2634",
"630.9401","630.9401","0.0010","6.0e+05",D+,"13.17177770","15.13684847","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).5d","2[3/2]*","2",5,5,,"T1218n","L2634",
,"631.0905","0.0010","7.6e+04",D,"13.15314387","15.11774638","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).5d","2[1/2]*","1",3,3,,"T1218n",,
,"636.6653","0.0010","5.6e+05",D+,"13.15314387","15.10054371","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).5d","2[1/2]*","0",3,1,,"T1218n",,
"637.1336","637.1336","0.0010","4.2e+05",D+,"13.17177770","15.11774638","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).5d","2[1/2]*","1",5,3,,"T1218n","L2634",
"638.6482","638.6482","0.0010","4.21e+05",C,"12.90701530","14.84836899","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).6s","2[3/2]*","1",3,3,,"T1218n","L2634",
"641.8081","641.8080","0.0010","1.16e+06",C,"12.90701530","14.83881100","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).6s","2[3/2]*","2",3,5,,"T1218n","L2634",
,"643.3332","0.0010","5.1e+04",D,"13.09487256","15.02208834","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<1/2>).6s","2[1/2]*","1",5,3,,"T1218n",,
,"646.8339","0.0010","1.5e+05",D,"13.27303810","15.1898239","3s2.3p5.(2P*<3/2>).4p","2[1/2]","0","3s2.3p5.(2P*<3/2>).5d","2[3/2]*","1",1,3,,"T1218n",,
,"648.2936","0.0010","9.4e+04",D,"13.27303810","15.18550800","3s2.3p5.(2P*<3/2>).4p","2[1/2]","0","3s2.3p5.(2P*<3/2>).7s","2[3/2]*","1",1,3,,"T1218n",,
,"649.5763","0.0010","3.1e+04",D,"13.09487256","15.00356588","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<1/2>).4d","2[3/2]*","1",5,3,,"T1164n",,
,"651.5646","0.0010","5.4e+04",D,"13.28263902","15.18550800","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).7s","2[3/2]*","1",3,3,,"T1164n",,
"653.9918","653.9918","0.0010","1.1e+05",D+,"13.07571571","14.97152236","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<1/2>).4d","2[5/2]*","3",7,7,,"T1218n","L2634",
,"659.7935","0.0010","2.3e+04",D,"13.07571571","14.95485204","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<1/2>).4d","2[5/2]*","2",7,5,,"T1164n",,
,"660.0500","0.0010","3.6e+04",D,"13.30222747","15.18063359","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).7s","2[3/2]*","2",5,5,,"T1164n",,
,"660.5835","0.0010","2.8e+05",D+,"13.07571571","14.95260474","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<1/2>).4d","2[3/2]*","2",7,5,,"T1218n",,
"660.6677","660.6677","0.0010","1.3e+04",D,"13.09487256","14.97152236","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<1/2>).4d","2[5/2]*","3",5,7,,"T1218n","L2634",
,"663.3916","0.0010","5.3e+04",D,"13.15314387","15.02208834","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).6s","2[1/2]*","1",3,3,,"T1218n",,
,"665.8776","0.0010","3.1e+04",D,"13.32785705","15.1898239","3s2.3p5.(2P*<1/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).5d","2[3/2]*","1",3,3,,"T1164n",,
"666.2515","666.2516","0.0010","7.8e+05",D,"13.15314387","15.0140655","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).6s","2[1/2]*","0",3,1,,"T1218n","L2634",
"666.5891","666.5891","0.0010","1.5e+05",D+,"13.09487256","14.95485204","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<1/2>).4d","2[5/2]*","2",5,5,,"T1218n","L2634",
"667.9126","667.9125","0.0010","2.36e+05",B,"11.62359272","13.47988682","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<1/2>).4p","2[1/2]","0",3,1,,"T5223","L2634",
,"668.6634","0.0010","3.9e+04",D,"13.28263902","15.13684847","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).5d","2[3/2]*","2",3,5,,"T1218n",,
,"670.0320","0.0010","2.5e+04",D,"13.15314387","15.00356588","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).4d","2[3/2]*","1",3,3,,"T1218n",,
,"670.0723","0.0010","1.6e+05",D+,"13.17177770","15.02208834","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).6s","2[1/2]*","1",5,3,,"T1218n",,
,"672.1073","0.0010","2.4e+05",D,"13.27303810","15.11774638","3s2.3p5.(2P*<3/2>).4p","2[1/2]","0","3s2.3p5.(2P*<3/2>).5d","2[1/2]*","1",1,3,,"T1218n",,
,"672.4746","0.0010","3.2e+04",D,"13.30222747","15.14592830","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).5d","2[7/2]*","3",5,7,,"T1218n",,
"675.4698","675.4697","0.0010","1.93e+06",C,"12.90701530","14.74254085","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).4d","2[3/2]*","2",3,5,,"T1218n","L2634",
,"675.6237","0.0010","2.1e+05",D,"13.28263902","15.11774638","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).5d","2[1/2]*","1",3,3,,"T1218n",,
"675.8028","675.8028","0.0010","3.6e+05",D+,"13.30222747","15.13684847","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).5d","2[3/2]*","2",5,5,,"T1218n","L2634",
"676.8480","676.8479","0.0010","4.0e+05",D+,"13.17177770","15.00356588","3s2.3p5.(2P*<3/2>).4p","2[3/2]","2","3s2.3p5.(2P*<1/2>).4d","2[3/2]*","1",5,3,,"T1218n","L2634",
,"678.1797","0.0010","1.21e+05",C,"13.47988682","15.30807770","3s2.3p5.(2P*<1/2>).4p","2[1/2]","0","3s2.3p5.(2P*<3/2>).6d","2[1/2]*","1",1,3,,"T1164n",,
,"682.0170","0.0010","2.0e+05",D,"13.28263902","15.10054371","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).5d","2[1/2]*","0",3,1,,"T1218n",,
,"682.9133","0.0010","2.4e+05",D,"13.30222747","15.11774638","3s2.3p5.(2P*<1/2>).4p","2[3/2]","2","3s2.3p5.(2P*<3/2>).5d","2[1/2]*","1",5,3,,"T1218n",,
,"685.3775","0.0010","6.7e+04",D,"13.32785705","15.13684847","3s2.3p5.(2P*<1/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).5d","2[3/2]*","2",3,5,,"T1218n",,
